mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__max_iter,param_classifier__solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
150.8503615061442,2.347165096283811,0.09935593605041504,0.009103541423159035,0.0002134899990195199,500,saga,"{'classifier__C': np.float64(0.0002134899990195199), 'classifier__max_iter': 500, 'classifier__solver': 'saga'}",0.542528735632184,0.5326436781609195,0.5420549860205033,0.5390757999378689,0.004552307296948219,40,0.5510877111779681,0.5652626706780838,0.5558045977011494,0.5573849931857338,0.005893816342758517
10.456974824269613,0.1907377293971741,0.14292359352111816,0.009166156057265949,0.0001238264969702355,1000,lbfgs,"{'classifier__C': np.float64(0.0001238264969702355), 'classifier__max_iter': 1000, 'classifier__solver': 'lbfgs'}",0.46339080459770116,0.4589655172413793,0.46662395153774466,0.4629934244589417,0.003139143959632593,47,0.47101365424670216,0.48634575329784774,0.47727011494252874,0.47820984082902623,0.006294475296366375
245.67341542243958,6.978947139660114,0.09118167559305827,0.008832904835929339,0.0004993895014755662,5000,saga,"{'classifier__C': np.float64(0.0004993895014755662), 'classifier__max_iter': 5000, 'classifier__solver': 'saga'}",0.6630459770114943,0.6485057471264368,0.6563956197576887,0.6559824479652065,0.0059432092607253,35,0.6771869937514464,0.6899733857903263,0.6812068965517242,0.6827890920311658,0.005338567988038017
374.1898341178894,12.744985211788858,0.1055746078491211,0.006362229039455691,0.0006939031266619748,1000,saga,"{'classifier__C': np.float64(0.0006939031266619748), 'classifier__max_iter': 1000, 'classifier__solver': 'saga'}",0.705287356321839,0.6913218390804597,0.6965866728797764,0.697731956094025,0.005758626756756357,29,0.7207243693589447,0.7333950474427215,0.724396551724138,0.7261719895086015,0.00532294750869924
67.64557139078777,3.6953520860230467,0.1447610060373942,0.005610388128570992,0.002989197738459902,1000,lbfgs,"{'classifier__C': np.float64(0.002989197738459902), 'classifier__max_iter': 1000, 'classifier__solver': 'lbfgs'}",0.8245402298850575,0.8120689655172414,0.8147716682199441,0.8171269545407477,0.005356842289552878,21,0.8595811154825272,0.8645857440407313,0.8649712643678161,0.863046041297025,0.0024551224892223494
1071.335036913554,79.38325477376125,0.10840066274007161,0.003992128191232093,0.04138851334163269,1000,saga,"{'classifier__C': np.float64(0.04138851334163269), 'classifier__max_iter': 1000, 'classifier__solver': 'saga'}",0.8749425287356322,0.8651724137931035,0.8641076421248836,0.8680741948845397,0.004876060027926066,2,0.9591240453598704,0.9613226105068271,0.9605172413793104,0.9603212990820026,0.0009081913213484172
1262.8738594055176,215.7014702167274,0.11410951614379883,0.007652997464266205,0.0343304473310619,1000,saga,"{'classifier__C': np.float64(0.0343304473310619), 'classifier__max_iter': 1000, 'classifier__solver': 'saga'}",0.8744827586206897,0.8650574712643678,0.8641076421248836,0.8678826240033137,0.004683081362676156,3,0.9548715575098357,0.9567229807914834,0.9558045977011494,0.9557997120008229,0.0007558482848242404
86.78533784548442,5.567301342885971,0.1483581860860189,0.022004815511041793,0.004108791545324082,5000,lbfgs,"{'classifier__C': np.float64(0.004108791545324082), 'classifier__max_iter': 5000, 'classifier__solver': 'lbfgs'}",0.837816091954023,0.8263793103448276,0.8278774464119292,0.8306909495702599,0.0050752237001968755,19,0.8781532052765564,0.8823189076602638,0.8826149425287356,0.8810290184885186,0.0020370952167911537
163.25313901901245,32.360604759880545,0.11604770024617513,0.012582882209620484,0.00017331598058558715,2000,saga,"{'classifier__C': np.float64(0.00017331598058558715), 'classifier__max_iter': 2000, 'classifier__solver': 'saga'}",0.5147126436781609,0.5047126436781609,0.513455265610438,0.5109601843222533,0.004447401711560513,42,0.5183117333950474,0.5353795417727378,0.5251149425287356,0.5262687392321735,0.007015504535386269
11.302947680155436,0.45400114605695313,0.14387114842732748,0.002735784898467377,0.00013245461546001884,5000,lbfgs,"{'classifier__C': np.float64(0.00013245461546001884), 'classifier__max_iter': 5000, 'classifier__solver': 'lbfgs'}",0.47379310344827585,0.46695402298850575,0.47640959925442683,0.47238557523040275,0.003986463126903695,46,0.48160148113862533,0.4962682249479287,0.4868965517241379,0.48825541927023064,0.006064279800482101
