feature,importance_gain,fold
connection_to_LH_SalVentAttnA_ParMed_1,0.007922256,2
connection_to_LH_DefaultC_PHC_1,0.007913986,2
connection_to_LH_DefaultA_PFCd_1,0.007876682,2
connection_to_LH_SalVentAttnB_Ins_1,0.0077913105,2
connection_to_pCAU-lh,0.007732361,2
connection_to_LH_DefaultB_IPL_1,0.007717557,2
connection_to_LH_DorsAttnA_SPL_2,0.0077135623,2
connection_to_LH_SomMotB_S2_1,0.0076429346,2
connection_to_LH_DorsAttnB_PostC_4,0.007616806,2
connection_to_LH_SomMotA_6,0.007591751,2
connection_to_LH_SomMotA_5,0.0075774905,2
connection_to_aHIP-lh,0.00753355,2
connection_to_LH_DefaultA_pCunPCC_2,0.00753239,2
connection_to_LH_DorsAttnA_ParOcc_1,0.0075306967,2
connection_to_LH_DefaultC_Rsp_1,0.0074921083,2
connection_to_LH_SalVentAttnA_FrOper_2,0.0074820546,2
connection_to_THA-VP-lh,0.007430396,2
connection_to_LH_ContA_IPS_2,0.0074288873,2
connection_to_aPUT-lh,0.0074263113,2
connection_to_LH_SomMotB_Aud_1,0.007329174,2
connection_to_LH_DefaultC_IPL_1,0.007262184,2
connection_to_LH_DefaultB_PFCv_1,0.0071650525,2
connection_to_LH_DefaultB_PFCd_4,0.0070739677,2
connection_to_LH_ContB_Temp_1,0.0070653325,2
connection_to_LH_ContC_pCun_1,0.0070504197,2
connection_to_LH_ContB_PFClv_1,0.0070447093,2
connection_to_LH_VisCent_Striate_1,0.0070217946,2
connection_to_LH_TempPar_2,0.0069907554,2
connection_to_LH_ContA_Temp_1,0.0068974555,2
connection_to_LH_SalVentAttnA_ParOper_1,0.0068460354,2
connection_to_LH_DorsAttnA_SPL_3,0.0066952533,2
connection_to_LH_ContC_pCun_2,0.006649006,2
connection_to_LH_VisPeri_ExStrInf_3,0.0065433453,2
connection_to_LH_ContA_IPS_1,0.006438068,2
connection_to_LH_DefaultA_IPL_1,0.006347555,2
connection_to_LH_SomMotB_Cent_2,0.006346851,2
connection_to_LH_SalVentAttnA_Ins_1,0.0063449335,2
connection_to_LH_DorsAttnA_TempOcc_2,0.0063447077,2
connection_to_LH_ContA_PFClv_1,0.006328935,2
connection_to_LH_DefaultA_PFCm_2,0.0059733074,2
connection_to_LH_SalVentAttnB_IPL_1,0.005804844,2
connection_to_LH_ContA_PFCl_2,0.0055251145,2
connection_to_LH_SalVentAttnB_PFCmp_1,0.005476796,2
connection_to_LH_DefaultB_PFCd_3,0.0054496066,2
connection_to_LH_VisPeri_ExStrSup_1,0.005227878,2
