region_name,misclassification_rate_rest,misclassification_rate_task,error_increase
RH_DefaultA_PFCd_1,0.1205357142857143,0.29000000000000004,0.16946428571428573
mAMY-rh,0.1383928571428571,0.30500000000000005,0.16660714285714295
LH_SomMotB_Cent_2,0.044642857142857095,0.20999999999999996,0.16535714285714287
RH_SalVentAttnA_Ins_1,0.1517857142857143,0.31499999999999995,0.16321428571428565
pCAU-lh,0.0669642857142857,0.22999999999999998,0.16303571428571428
LH_SalVentAttnB_PFCl_1,0.0625,0.22499999999999998,0.16249999999999998
THA-VP-lh,0.1607142857142857,0.31999999999999995,0.15928571428571425
RH_ContB_PFCld_3,0.0714285714285714,0.22999999999999998,0.15857142857142859
RH_VisCent_ExStr_2,0.044642857142857095,0.19999999999999996,0.15535714285714286
pHIP-rh,0.2098214285714286,0.365,0.1551785714285714
aHIP-lh,0.125,0.28,0.15500000000000003
LH_SalVentAttnA_Ins_1,0.09375,0.245,0.15125
LH_SomMotA_3,0.0401785714285714,0.18999999999999995,0.14982142857142855
LH_DefaultB_PFCv_4,0.0401785714285714,0.18999999999999995,0.14982142857142855
LH_DefaultB_Temp_1,0.0758928571428571,0.22499999999999998,0.14910714285714288
LH_DefaultA_pCunPCC_3,0.03125,0.18000000000000005,0.14875000000000005
THA-DP-rh,0.1919642857142857,0.33999999999999997,0.14803571428571427
LH_SalVentAttnA_FrOper_1,0.0669642857142857,0.21499999999999997,0.14803571428571427
LH_DefaultA_PFCd_1,0.0625,0.20999999999999996,0.14749999999999996
RH_ContB_Temp_1,0.0982142857142857,0.245,0.1467857142857143
LH_SomMotB_Aud_3,0.1383928571428571,0.28,0.14160714285714293
LH_TempPar_1,0.1339285714285714,0.275,0.14107142857142863
NAc-shell-lh,0.1741071428571429,0.31499999999999995,0.14089285714285704
RH_TempPar_2,0.1205357142857143,0.26,0.1394642857142857
pPUT-rh,0.0669642857142857,0.20499999999999996,0.13803571428571426
RH_SalVentAttnA_FrOper_1,0.022321428571428603,0.16000000000000003,0.13767857142857143
RH_DorsAttnB_PostC_1,0.049107142857142905,0.18500000000000005,0.13589285714285715
LH_ContB_PFClv_2,0.1383928571428571,0.27,0.13160714285714292
RH_DefaultA_pCunPCC_1,0.013392857142857095,0.14500000000000002,0.13160714285714292
RH_DefaultB_PFCv_1,0.044642857142857095,0.17500000000000004,0.13035714285714295
LH_SalVentAttnB_Ins_1,0.0848214285714286,0.21499999999999997,0.13017857142857137
aPUT-rh,0.0401785714285714,0.17000000000000004,0.12982142857142864
aPUT-lh,0.0401785714285714,0.17000000000000004,0.12982142857142864
RH_VisPeri_ExStrInf_2,0.03125,0.16000000000000003,0.12875000000000003
LH_DefaultB_Temp_4,0.0580357142857143,0.18500000000000005,0.12696428571428575
LH_DorsAttnA_SPL_3,0.1383928571428571,0.265,0.12660714285714292
LH_TempPar_2,0.2098214285714286,0.33499999999999996,0.12517857142857136
LH_ContA_Temp_1,0.0848214285714286,0.20999999999999996,0.12517857142857136
LH_LimbicB_OFC_1,0.2053571428571429,0.32999999999999996,0.12464285714285706
LH_VisPeri_ExStrInf_3,0.1205357142857143,0.245,0.1244642857142857
RH_SalVentAttnA_Ins_2,0.0625,0.18500000000000005,0.12250000000000005
RH_SomMotB_S2_3,0.0625,0.18500000000000005,0.12250000000000005
RH_DorsAttnA_SPL_1,0.044642857142857095,0.16500000000000004,0.12035714285714294
RH_VisPeri_ExStrSup_1,0.0357142857142857,0.15500000000000003,0.11928571428571433
THA-DA-rh,0.0669642857142857,0.18500000000000005,0.11803571428571435
RH_VisPeri_ExStrSup_3,0.044642857142857095,0.16000000000000003,0.11535714285714294
LH_DefaultB_PFCv_2,0.1964285714285714,0.31000000000000005,0.11357142857142866
RH_LimbicA_TempPole_3,0.2232142857142857,0.33499999999999996,0.11178571428571427
THA-VP-rh,0.1785714285714286,0.29000000000000004,0.11142857142857143
RH_SalVentAttnA_FrMed_2,0.0535714285714286,0.16500000000000004,0.11142857142857143
RH_LimbicA_TempPole_1,0.1294642857142857,0.24,0.11053571428571429
LH_DefaultA_pCunPCC_2,0.0401785714285714,0.15000000000000002,0.10982142857142863
RH_SomMotB_S2_2,0.0803571428571429,0.18999999999999995,0.10964285714285704
RH_SalVentAttnB_PFClv_1,0.1026785714285714,0.20999999999999996,0.10732142857142857
LH_SomMotA_1,0.0580357142857143,0.16500000000000004,0.10696428571428573
LH_LimbicA_TempPole_2,0.1785714285714286,0.28500000000000003,0.10642857142857143
RH_SomMotB_Aud_1,0.044642857142857095,0.15000000000000002,0.10535714285714293
RH_SalVentAttnB_PFCmp_1,0.0401785714285714,0.14500000000000002,0.10482142857142862
lAMY-lh,0.2410714285714286,0.345,0.10392857142857137
pCAU-rh,0.0669642857142857,0.17000000000000004,0.10303571428571434
RH_ContC_pCun_1,0.022321428571428603,0.125,0.1026785714285714
LH_DefaultB_PFCv_3,0.0625,0.16500000000000004,0.10250000000000004
LH_DefaultB_PFCv_1,0.0580357142857143,0.16000000000000003,0.10196428571428573
RH_SomMotB_S2_4,0.0357142857142857,0.135,0.09928571428571431
