region_name,misclassification_rate_rest,misclassification_rate_task,error_increase
RH_VisCent_ExStr_4,0.0,0.265,0.265
LH_SalVentAttnB_IPL_1,0.0,0.265,0.265
RH_DefaultC_PHC_1,0.0,0.265,0.265
RH_VisCent_Striate_1,0.0,0.265,0.265
aCAU-rh,0.0,0.265,0.265
LH_DefaultA_PFCm_1,0.0,0.26,0.26
RH_VisPeri_ExStrSup_3,0.0,0.26,0.26
RH_SomMotA_8,0.0,0.26,0.26
RH_SomMotA_4,0.0,0.255,0.255
RH_LimbicB_OFC_3,0.0,0.255,0.255
RH_DorsAttnB_PostC_3,0.0,0.255,0.255
LH_SalVentAttnA_FrMed_1,0.0,0.255,0.255
RH_LimbicB_OFC_2,0.0,0.25,0.25
LH_VisPeri_ExStrSup_1,0.0,0.25,0.25
LH_SomMotA_7,0.0,0.25,0.25
RH_SalVentAttnB_Ins_1,0.0,0.25,0.25
RH_SomMotA_1,0.0,0.25,0.25
RH_SalVentAttnA_FrMed_2,0.0,0.25,0.25
LH_DefaultC_PHC_1,0.0,0.25,0.25
LH_SalVentAttnB_PFCl_1,0.0,0.245,0.245
RH_DefaultA_IPL_1,0.0,0.245,0.245
LH_DorsAttnA_TempOcc_1,0.0,0.24,0.24
LH_SalVentAttnA_ParOper_1,0.0,0.235,0.235
aCAU-lh,0.0,0.235,0.235
LH_SomMotA_6,0.0,0.235,0.235
LH_ContC_pCun_2,0.0,0.22999999999999998,0.22999999999999998
RH_VisCent_ExStr_3,0.0,0.22499999999999998,0.22499999999999998
RH_ContA_IPS_1,0.0,0.22499999999999998,0.22499999999999998
RH_ContB_IPL_2,0.0,0.22499999999999998,0.22499999999999998
LH_ContC_pCun_1,0.0,0.21999999999999997,0.21999999999999997
LH_SomMotA_8,0.0,0.21499999999999997,0.21499999999999997
RH_ContB_PFClv_1,0.0,0.21499999999999997,0.21499999999999997
LH_ContB_IPL_1,0.0,0.20999999999999996,0.20999999999999996
LH_SomMotB_S2_2,0.0,0.20999999999999996,0.20999999999999996
RH_DefaultA_pCunPCC_1,0.0,0.20999999999999996,0.20999999999999996
RH_DefaultA_PFCm_1,0.0,0.20999999999999996,0.20999999999999996
RH_LimbicA_TempPole_4,0.0,0.20499999999999996,0.20499999999999996
LH_DefaultA_PFCm_3,0.0,0.20499999999999996,0.20499999999999996
LH_VisCent_Striate_1,0.0,0.20499999999999996,0.20499999999999996
RH_ContC_Cingp_1,0.0,0.19999999999999996,0.19999999999999996
RH_ContB_PFCmp_1,0.0,0.19499999999999995,0.19499999999999995
RH_DefaultB_PFCv_1,0.0,0.19499999999999995,0.19499999999999995
RH_ContC_pCun_1,0.0,0.18999999999999995,0.18999999999999995
RH_SalVentAttnA_ParMed_2,0.0,0.18999999999999995,0.18999999999999995
RH_VisCent_ExStr_5,0.0,0.18999999999999995,0.18999999999999995
RH_DorsAttnB_PostC_4,0.0,0.18500000000000005,0.18500000000000005
RH_DefaultB_PFCd_1,0.0,0.16500000000000004,0.16500000000000004
RH_DefaultA_PFCm_3,0.0,0.16000000000000003,0.16000000000000003
RH_SomMotB_Cent_1,0.0,0.15000000000000002,0.15000000000000002
