region_idx,region_name,network,hemisphere,recall,n_samples
120,RH_SomMotA_9,SomMotA,right,0.7678571428571429,224
121,RH_SomMotA_10,SomMotA,right,0.8705357142857143,224
122,RH_SomMotA_11,SomMotA,right,0.8839285714285714,224
123,RH_SomMotB_Aud_1,SomMotB,right,0.8125,224
124,RH_SomMotB_Aud_2,SomMotB,right,0.7901785714285714,224
125,RH_SomMotB_S2_1,SomMotB,right,0.7678571428571429,224
126,RH_SomMotB_S2_2,SomMotB,right,0.7767857142857143,224
127,RH_SomMotB_S2_3,SomMotB,right,0.7991071428571429,224
128,RH_SomMotB_S2_4,SomMotB,right,0.7901785714285714,224
129,RH_SomMotB_Cent_1,SomMotB,right,0.9419642857142857,224
130,RH_DorsAttnA_TempOcc_1,DorsAttnA,right,0.7857142857142857,224
131,RH_DorsAttnA_ParOcc_1,DorsAttnA,right,0.6964285714285714,224
132,RH_DorsAttnA_SPL_1,DorsAttnA,right,0.7991071428571429,224
133,RH_DorsAttnA_SPL_2,DorsAttnA,right,0.78125,224
134,RH_DorsAttnA_SPL_3,DorsAttnA,right,0.7633928571428571,224
135,RH_DorsAttnA_SPL_4,DorsAttnA,right,0.8125,224
136,RH_DorsAttnB_PostC_1,DorsAttnB,right,0.8080357142857143,224
137,RH_DorsAttnB_PostC_2,DorsAttnB,right,0.7857142857142857,224
138,RH_DorsAttnB_PostC_3,DorsAttnB,right,0.8616071428571429,224
139,RH_DorsAttnB_PostC_4,DorsAttnB,right,0.8526785714285714,224
140,RH_DorsAttnB_FEF_1,DorsAttnB,right,0.71875,224
141,RH_SalVentAttnA_ParOper_1,SalVentAttnA,right,0.8616071428571429,224
142,RH_SalVentAttnA_PrC_1,SalVentAttnA,right,0.625,224
143,RH_SalVentAttnA_Ins_1,SalVentAttnA,right,0.5982142857142857,224
144,RH_SalVentAttnA_Ins_2,SalVentAttnA,right,0.7366071428571429,224
145,RH_SalVentAttnA_FrOper_1,SalVentAttnA,right,0.8616071428571429,224
146,RH_SalVentAttnA_FrMed_1,SalVentAttnA,right,0.8705357142857143,224
147,RH_SalVentAttnA_ParMed_1,SalVentAttnA,right,0.7008928571428571,224
148,RH_SalVentAttnA_ParMed_2,SalVentAttnA,right,0.7946428571428571,224
149,RH_SalVentAttnA_FrMed_2,SalVentAttnA,right,0.8348214285714286,224
150,RH_SalVentAttnB_IPL_1,SalVentAttnB,right,0.7589285714285714,224
151,RH_SalVentAttnB_PFClv_1,SalVentAttnB,right,0.7991071428571429,224
152,RH_SalVentAttnB_PFCl_1,SalVentAttnB,right,0.8035714285714286,224
153,RH_SalVentAttnB_Ins_1,SalVentAttnB,right,0.6696428571428571,224
154,RH_SalVentAttnB_Ins_2,SalVentAttnB,right,0.7991071428571429,224
155,RH_SalVentAttnB_PFCmp_1,SalVentAttnB,right,0.8169642857142857,224
156,RH_LimbicB_OFC_1,LimbicB,right,0.75,224
157,RH_LimbicB_OFC_2,LimbicB,right,0.7678571428571429,224
158,RH_LimbicB_OFC_3,LimbicB,right,0.8839285714285714,224
159,RH_LimbicB_OFC_4,LimbicB,right,0.7544642857142857,224
160,RH_LimbicA_TempPole_1,LimbicA,right,0.6339285714285714,224
161,RH_LimbicA_TempPole_2,LimbicA,right,0.5669642857142857,224
162,RH_LimbicA_TempPole_3,LimbicA,right,0.5758928571428571,224
163,RH_LimbicA_TempPole_4,LimbicA,right,0.6696428571428571,224
164,RH_ContA_IPS_1,ContA,right,0.8303571428571429,224
165,RH_ContA_IPS_2,ContA,right,0.8348214285714286,224
166,RH_ContA_PFCd_1,ContA,right,0.7589285714285714,224
167,RH_ContA_PFCl_1,ContA,right,0.7991071428571429,224
168,RH_ContA_PFCl_2,ContA,right,0.8258928571428571,224
169,RH_ContA_Cingm_1,ContA,right,0.7991071428571429,224
170,RH_ContB_Temp_1,ContB,right,0.7678571428571429,224
171,RH_ContB_Temp_2,ContB,right,0.7053571428571429,224
172,RH_ContB_IPL_1,ContB,right,0.8080357142857143,224
173,RH_ContB_IPL_2,ContB,right,0.7946428571428571,224
174,RH_ContB_PFCld_1,ContB,right,0.7232142857142857,224
175,RH_ContB_PFCld_2,ContB,right,0.7589285714285714,224
176,RH_ContB_PFClv_1,ContB,right,0.75,224
177,RH_ContB_PFClv_2,ContB,right,0.7455357142857143,224
178,RH_ContB_PFCmp_1,ContB,right,0.7767857142857143,224
179,RH_ContB_PFCld_3,ContB,right,0.8035714285714286,224
180,RH_ContC_pCun_1,ContC,right,0.90625,224
181,RH_ContC_pCun_2,ContC,right,0.8794642857142857,224
182,RH_ContC_Cingp_1,ContC,right,0.8794642857142857,224
183,RH_DefaultA_IPL_1,DefaultA,right,0.78125,224
184,RH_DefaultA_PFCd_1,DefaultA,right,0.7544642857142857,224
185,RH_DefaultA_pCunPCC_1,DefaultA,right,0.9107142857142857,224
186,RH_DefaultA_PFCm_1,DefaultA,right,0.8214285714285714,224
187,RH_DefaultA_PFCm_2,DefaultA,right,0.3392857142857143,224
188,RH_DefaultA_PFCm_3,DefaultA,right,0.8571428571428571,224
189,RH_DefaultB_Temp_1,DefaultB,right,0.6964285714285714,224
190,RH_DefaultB_AntTemp_1,DefaultB,right,0.7276785714285714,224
191,RH_DefaultB_PFCd_1,DefaultB,right,0.8080357142857143,224
192,RH_DefaultB_PFCv_1,DefaultB,right,0.8080357142857143,224
193,RH_DefaultC_IPL_1,DefaultC,right,0.7946428571428571,224
194,RH_DefaultC_Rsp_1,DefaultC,right,0.9151785714285714,224
195,RH_DefaultC_PHC_1,DefaultC,right,0.8303571428571429,224
196,RH_TempPar_1,TempPar,right,0.7232142857142857,224
197,RH_TempPar_2,TempPar,right,0.7008928571428571,224
198,RH_TempPar_3,TempPar,right,0.71875,224
199,RH_TempPar_4,TempPar,right,0.7098214285714286,224
200,aHIP-rh,Hippocampus_ant,right,0.7142857142857143,224
201,pHIP-rh,Hippocampus_post,right,0.6607142857142857,224
202,lAMY-rh,Amygdala_lat,right,0.5133928571428571,224
203,mAMY-rh,Amygdala_med,right,0.6205357142857143,224
204,THA-DP-rh,Thalamus_DP,right,0.5758928571428571,224
205,THA-VP-rh,Thalamus_VP,right,0.7008928571428571,224
206,THA-VA-rh,Thalamus_VA,right,0.8035714285714286,224
207,THA-DA-rh,Thalamus_DA,right,0.7901785714285714,224
208,NAc-shell-rh,Accumbens_shell,right,0.5803571428571429,224
209,NAc-core-rh,Accumbens_core,right,0.6339285714285714,224
210,pGP-rh,Pallidum_post,right,0.3125,224
211,aGP-rh,Pallidum_ant,right,0.29017857142857145,224
212,aPUT-rh,Putamen_ant,right,0.8303571428571429,224
213,pPUT-rh,Putamen_post,right,0.8303571428571429,224
214,aCAU-rh,Caudate_ant,right,0.7455357142857143,224
215,pCAU-rh,Caudate_post,right,0.7321428571428571,224
216,aHIP-lh,Hippocampus_ant,left,0.6830357142857143,224
217,pHIP-lh,Hippocampus_post,left,0.6607142857142857,224
218,lAMY-lh,Amygdala_lat,left,0.5044642857142857,224
219,mAMY-lh,Amygdala_med,left,0.6205357142857143,224
220,THA-DP-lh,Thalamus_DP,left,0.6071428571428571,224
221,THA-VP-lh,Thalamus_VP,left,0.6607142857142857,224
222,THA-VA-lh,Thalamus_VA,left,0.7366071428571429,224
223,THA-DA-lh,Thalamus_DA,left,0.7455357142857143,224
224,NAc-shell-lh,Accumbens_shell,left,0.6428571428571429,224
225,NAc-core-lh,Accumbens_core,left,0.6473214285714286,224
226,pGP-lh,Pallidum_post,left,0.38839285714285715,224
227,aGP-lh,Pallidum_ant,left,0.2544642857142857,224
228,aPUT-lh,Putamen_ant,left,0.84375,224
229,pPUT-lh,Putamen_post,left,0.75,224
230,aCAU-lh,Caudate_ant,left,0.7410714285714286,224
231,pCAU-lh,Caudate_post,left,0.7455357142857143,224
