region_i,region_j,network_i,network_j,rest,task,change,abs_change
LH_LimbicA_TempPole_1,RH_SalVentAttnB_PFCmp_1,Limbic,VentralAttention,-0.05463363152267702,-0.07732253658889873,-0.02268890506622171,0.02268890506622171
LH_ContB_PFClv_1,RH_LimbicA_TempPole_2,FrontoParietal,Limbic,0.07816627166920632,0.055478917670762684,-0.02268735399844364,0.02268735399844364
LH_DorsAttnA_SPL_2,RH_LimbicB_OFC_4,DorsalAttention,Limbic,-0.24030363253298367,-0.26298786759748977,-0.022684235064506092,0.022684235064506092
LH_DorsAttnB_PostC_3,RH_SomMotB_Aud_2,DorsalAttention,Somatomotor,0.09947225753783133,0.07679022704200542,-0.022682030495825914,0.022682030495825914
LH_DefaultA_pCunPCC_2,RH_SomMotB_S2_3,DefaultMode,Somatomotor,-0.18128787565332968,-0.15860739634879517,0.022680479304534512,0.022680479304534512
RH_DorsAttnB_FEF_1,RH_VisPeri_ExStrInf_2,DorsalAttention,Visual,0.021077024295137768,0.04375570357289489,0.022678679277757123,0.022678679277757123
RH_SalVentAttnA_Ins_2,RH_SalVentAttnA_ParMed_1,VentralAttention,VentralAttention,0.234818961244299,0.25749612572016856,0.022677164475869566,0.022677164475869566
RH_ContB_Temp_2,RH_SomMotA_4,FrontoParietal,Somatomotor,-0.06763075794150356,-0.09029625198260292,-0.02266549404109937,0.02266549404109937
LH_SalVentAttnA_FrMed_2,RH_VisCent_Striate_1,VentralAttention,Visual,-0.003512668084202493,-0.026177393828946776,-0.022664725744744284,0.022664725744744284
LH_LimbicA_TempPole_2,RH_DefaultB_PFCv_1,Limbic,DefaultMode,-0.025546300981522333,-0.04820988553594563,-0.022663584554423296,0.022663584554423296
LH_DorsAttnA_SPL_2,LH_VisPeri_ExStrInf_3,DorsalAttention,Visual,0.07416978868513832,0.05150845282911939,-0.022661335856018934,0.022661335856018934
LH_DefaultB_PFCd_3,LH_VisPeri_ExStrInf_2,DefaultMode,Visual,-0.21384374353248223,-0.19118385332802373,0.022659890204458494,0.022659890204458494
LH_SomMotB_Aud_1,RH_ContA_IPS_2,Somatomotor,FrontoParietal,0.05418238734896724,0.03153575665130694,-0.022646630697660305,0.022646630697660305
RH_ContB_Temp_2,RH_LimbicB_OFC_1,FrontoParietal,Limbic,0.17142911695998336,0.14878394210665383,-0.022645174853329536,0.022645174853329536
LH_SalVentAttnA_FrMed_2,RH_ContA_Cingm_1,VentralAttention,FrontoParietal,-0.04572471462258503,-0.02307985683332186,0.022644857789263173,0.022644857789263173
LH_SomMotA_5,RH_ContB_PFCld_1,Somatomotor,FrontoParietal,-0.14931433284907542,-0.12667043988994,0.02264389295913541,0.02264389295913541
LH_DefaultA_IPL_1,LH_VisPeri_StriCal_1,DefaultMode,Visual,-0.24190956311119804,-0.21926948130324447,0.02264008180795357,0.02264008180795357
RH_ContB_Temp_1,RH_DorsAttnA_SPL_1,FrontoParietal,DorsalAttention,-0.27328285870072055,-0.25064777307692654,0.022635085623794016,0.022635085623794016
LH_ContA_IPS_1,LH_ContC_pCun_1,FrontoParietal,FrontoParietal,0.2804893099568893,0.2578593486725479,-0.022629961284341416,0.022629961284341416
LH_VisPeri_ExStrInf_2,RH_ContC_Cingp_1,Visual,FrontoParietal,-0.027448230415925205,-0.05007799378576482,-0.022629763369839618,0.022629763369839618
RH_DorsAttnA_TempOcc_1,RH_SalVentAttnA_ParMed_1,DorsalAttention,VentralAttention,-0.009741191009447881,-0.03236771470160907,-0.022626523692161185,0.022626523692161185
RH_DefaultC_PHC_1,RH_SomMotA_9,DefaultMode,Somatomotor,0.032163624284685985,0.054787725285219066,0.02262410100053308,0.02262410100053308
LH_LimbicB_OFC_1,RH_VisPeri_StriCal_1,Limbic,Visual,-0.1650356836645596,-0.14241302451848234,0.02262265914607725,0.02262265914607725
LH_VisCent_ExStr_2,RH_LimbicB_OFC_1,Visual,Limbic,0.006567929425391648,-0.016053303484566045,-0.022621232909957694,0.022621232909957694
RH_DorsAttnB_PostC_2,RH_SalVentAttnA_ParOper_1,DorsalAttention,VentralAttention,0.3776176315962257,0.4002277268952764,0.022610095299050725,0.022610095299050725
LH_DefaultB_PFCv_3,RH_SomMotA_2,DefaultMode,Somatomotor,-0.06109013287734014,-0.08369658989609763,-0.022606457018757485,0.022606457018757485
RH_DefaultB_PFCd_1,RH_DorsAttnB_PostC_2,DefaultMode,DorsalAttention,-0.21811716459900282,-0.24072201086496123,-0.022604846265958406,0.022604846265958406
RH_LimbicA_TempPole_3,RH_SomMotA_8,Limbic,Somatomotor,-0.03350771345679057,-0.05611198566697594,-0.02260427221018537,0.02260427221018537
LH_DefaultB_Temp_1,LH_VisCent_ExStr_4,DefaultMode,Visual,-0.19811427960525657,-0.17551022543471376,0.022604054170542814,0.022604054170542814
