region_i,region_j,network_i,network_j,rest,task,change,abs_change
NAc-core-rh,pCAU-lh,Accumbens,Caudate,0.17384304447934432,0.1597399548080461,-0.014103089671298225,0.014103089671298225
pHIP-rh,aGP-lh,Hippocampus,Pallidum,-0.029953793592817895,-0.04398085358102241,-0.014027059988204516,0.014027059988204516
THA-VP-lh,pCAU-lh,Thal_post,Caudate,0.05083985527097422,0.03694483871914399,-0.01389501655183023,0.01389501655183023
THA-VA-rh,mAMY-lh,Thal_ant,Amygdala,-0.0323649545033819,-0.0190244312394204,0.013340523263961498,0.013340523263961498
aCAU-rh,lAMY-lh,Caudate,Amygdala,-0.060529681952248164,-0.07369446973423245,-0.013164787781984287,0.013164787781984287
aHIP-rh,pCAU-rh,Hippocampus,Caudate,-0.11679259643531523,-0.10366453326795112,0.013128063167364104,0.013128063167364104
pHIP-rh,THA-VP-rh,Hippocampus,Thal_post,0.04831456840530505,0.03518934645222136,-0.013125221953083688,0.013125221953083688
lAMY-lh,NAc-core-lh,Amygdala,Accumbens,-0.018743482629078156,-0.03181850135140643,-0.013075018722328274,0.013075018722328274
lAMY-lh,aCAU-lh,Amygdala,Caudate,-0.061834208272765805,-0.048760357145718254,0.01307385112704755,0.01307385112704755
aCAU-rh,aHIP-lh,Caudate,Hippocampus,-0.08026287922543139,-0.06727243597695401,0.012990443248477382,0.012990443248477382
lAMY-lh,THA-VP-lh,Amygdala,Thal_post,0.019370036661994574,0.006382189531612367,-0.012987847130382207,0.012987847130382207
lAMY-rh,aPUT-rh,Amygdala,Putamen,-0.004898534618882566,0.008069531974254024,0.01296806659313659,0.01296806659313659
aPUT-rh,THA-VP-lh,Putamen,Thal_post,0.07193398575447359,0.05897343094420299,-0.0129605548102706,0.0129605548102706
NAc-shell-rh,THA-DP-lh,Accumbens,Thal_post,0.0368965698648144,0.023989679097232246,-0.012906890767582151,0.012906890767582151
aHIP-rh,pGP-rh,Hippocampus,Pallidum,-0.018652636145609688,-0.005805808894974373,0.012846827250635314,0.012846827250635314
THA-DP-lh,THA-VA-lh,Thal_post,Thal_ant,0.08514334651357165,0.07255961689076212,-0.012583729622809528,0.012583729622809528
lAMY-rh,pGP-lh,Amygdala,Pallidum,-0.008021929605698258,0.0045602016453298025,0.01258213125102806,0.01258213125102806
aHIP-rh,NAc-shell-lh,Hippocampus,Accumbens,0.10256617566061198,0.11511280322029284,0.012546627559680862,0.012546627559680862
aHIP-lh,lAMY-lh,Hippocampus,Amygdala,0.34402566935183937,0.33152799777317343,-0.012497671578665936,0.012497671578665936
THA-DP-rh,THA-DA-rh,Thal_post,Thal_ant,0.18845081366487046,0.20053992220704725,0.01208910854217679,0.01208910854217679
THA-DP-rh,NAc-shell-lh,Thal_post,Accumbens,0.03676388381102099,0.024741115173010766,-0.012022768638010224,0.012022768638010224
lAMY-lh,pGP-lh,Amygdala,Pallidum,0.010028546035599361,-0.0015754239352996622,-0.011603969970899023,0.011603969970899023
THA-VP-rh,aCAU-rh,Thal_post,Caudate,0.01617407471061297,0.004585949456242275,-0.011588125254370696,0.011588125254370696
THA-DP-lh,NAc-shell-lh,Thal_post,Accumbens,0.03650031054002536,0.02498172142330791,-0.011518589116717447,0.011518589116717447
NAc-shell-rh,pCAU-rh,Accumbens,Caudate,0.07941458128655172,0.06795678095717628,-0.011457800329375448,0.011457800329375448
THA-VP-rh,NAc-core-lh,Thal_post,Accumbens,0.015151436735668202,0.02656612907955366,0.011414692343885457,0.011414692343885457
THA-DP-rh,aPUT-lh,Thal_post,Putamen,0.0049793686538196534,0.016367312128110725,0.011387943474291073,0.011387943474291073
THA-VP-lh,NAc-core-lh,Thal_post,Accumbens,0.03205410314857882,0.02071754463482389,-0.011336558513754934,0.011336558513754934
pHIP-lh,NAc-core-lh,Hippocampus,Accumbens,0.029678379922632062,0.018357911267581628,-0.011320468655050434,0.011320468655050434
pHIP-rh,NAc-core-lh,Hippocampus,Accumbens,0.029621278520880614,0.04090252289726025,0.011281244376379635,0.011281244376379635
THA-VP-rh,pCAU-rh,Thal_post,Caudate,0.011231555429608592,0.022347684913506183,0.011116129483897591,0.011116129483897591
mAMY-lh,THA-VA-lh,Amygdala,Thal_ant,0.013738435883637674,0.02458024353318077,0.010841807649543095,0.010841807649543095
THA-VP-lh,THA-DA-lh,Thal_post,Thal_ant,0.3234715196980445,0.3127996883328422,-0.010671831365202278,0.010671831365202278
lAMY-rh,pPUT-rh,Amygdala,Putamen,0.015918894714800406,0.026524533462032266,0.01060563874723186,0.01060563874723186
mAMY-rh,THA-DP-rh,Amygdala,Thal_post,0.09353616469960455,0.08298900159744044,-0.010547163102164109,0.010547163102164109
mAMY-lh,pGP-lh,Amygdala,Pallidum,0.01676681267535225,0.0062976566504949864,-0.010469156024857262,0.010469156024857262
aHIP-lh,aCAU-lh,Hippocampus,Caudate,-0.051129561547977945,-0.040684193507765885,0.01044536804021206,0.01044536804021206
THA-VP-rh,NAc-shell-lh,Thal_post,Accumbens,0.020338407819730432,0.009956925470032957,-0.010381482349697475,0.010381482349697475
lAMY-rh,aCAU-lh,Amygdala,Caudate,-0.04464358329977332,-0.03500976222054131,0.00963382107923201,0.00963382107923201
THA-VA-rh,NAc-core-rh,Thal_ant,Accumbens,0.15293677199736994,0.14341280074751794,-0.009523971249851992,0.009523971249851992
mAMY-lh,aPUT-lh,Amygdala,Putamen,0.041109216777862945,0.03165093069688207,-0.009458286080980878,0.009458286080980878
mAMY-rh,THA-VA-lh,Amygdala,Thal_ant,-0.024685647642001173,-0.03409273748431283,-0.009407089842311658,0.009407089842311658
NAc-core-rh,aCAU-rh,Accumbens,Caudate,0.37426920824404736,0.36491858513058667,-0.009350623113460688,0.009350623113460688
THA-DA-rh,aCAU-rh,Thal_ant,Caudate,0.11974219822665233,0.11045387356317377,-0.009288324663478564,0.009288324663478564
aHIP-lh,pGP-lh,Hippocampus,Pallidum,-0.0427023852673034,-0.05193896456659125,-0.009236579299287853,0.009236579299287853
THA-DA-rh,THA-DP-lh,Thal_ant,Thal_post,0.1561242805324661,0.1653131059441184,0.009188825411652307,0.009188825411652307
NAc-core-rh,THA-VA-lh,Accumbens,Thal_ant,0.15449096166780332,0.1454949013104906,-0.008996060357312735,0.008996060357312735
THA-DA-rh,aPUT-rh,Thal_ant,Putamen,0.13877543501629494,0.12978590795958164,-0.008989527056713298,0.008989527056713298
THA-DP-rh,pCAU-rh,Thal_post,Caudate,-0.06744765108830765,-0.058559026820814736,0.008888624267492914,0.008888624267492914
THA-VP-lh,NAc-shell-lh,Thal_post,Accumbens,0.04880324046255805,0.040035270175364006,-0.008767970287194046,0.008767970287194046
mAMY-rh,THA-VA-rh,Amygdala,Thal_ant,-0.05055619971978447,-0.04187772183255046,0.008678477887234012,0.008678477887234012
lAMY-lh,THA-DA-lh,Amygdala,Thal_ant,-0.03985092740279137,-0.04848375497939784,-0.008632827576606467,0.008632827576606467
THA-DP-rh,lAMY-lh,Thal_post,Amygdala,0.05364920414073349,0.045331438135163465,-0.008317766005570028,0.008317766005570028
NAc-core-rh,THA-DP-lh,Accumbens,Thal_post,-0.019685805322879845,-0.027841666195786416,-0.00815586087290657,0.00815586087290657
pGP-rh,lAMY-lh,Pallidum,Amygdala,0.01954811781105317,0.027685108830436057,0.008136991019382887,0.008136991019382887
pCAU-rh,aHIP-lh,Caudate,Hippocampus,-0.11328377627137816,-0.10520204630673988,0.008081729964638282,0.008081729964638282
pCAU-rh,mAMY-lh,Caudate,Amygdala,-0.05252688141565132,-0.04491843424758597,0.007608447168065351,0.007608447168065351
THA-DA-rh,NAc-core-rh,Thal_ant,Accumbens,0.07398904447197767,0.06642133521624906,-0.007567709255728611,0.007567709255728611
aPUT-rh,lAMY-lh,Putamen,Amygdala,-0.006693237488314013,0.0008652374414521835,0.007558474929766196,0.007558474929766196
pCAU-rh,THA-DP-lh,Caudate,Thal_post,-0.05099704009072647,-0.04347869691313698,0.0075183431775894885,0.0075183431775894885
mAMY-rh,NAc-shell-rh,Amygdala,Accumbens,0.1298112635438043,0.1223674004961671,-0.007443863047637195,0.007443863047637195
aHIP-lh,NAc-core-lh,Hippocampus,Accumbens,0.01193153480767414,0.019325223938227415,0.007393689130553275,0.007393689130553275
aCAU-rh,mAMY-lh,Caudate,Amygdala,-0.04681388280544453,-0.03955841275524245,0.007255470050202079,0.007255470050202079
THA-DP-rh,aCAU-lh,Thal_post,Caudate,-0.050885267910014555,-0.05813168023770464,-0.007246412327690084,0.007246412327690084
aHIP-rh,NAc-core-lh,Hippocampus,Accumbens,0.012529389462659411,0.019757911280463714,0.007228521817804303,0.007228521817804303
lAMY-rh,pCAU-rh,Amygdala,Caudate,-0.04867038682901281,-0.041589764838611716,0.007080621990401097,0.007080621990401097
NAc-shell-rh,THA-DA-lh,Accumbens,Thal_ant,0.06770526917489302,0.06072971730762321,-0.006975551867269808,0.006975551867269808
