region_i,region_j,network_i,network_j,rest_connectivity,task_connectivity,change,abs_change,pct_change
RH_ContB_IPL_2,RH_SalVentAttnA_ParMed_2,FrontoParietal,VentralAttention,0.21129690231272708,0.03127824388778274,-0.18001865842494433,0.18001865842494433,-85.19701730341043
RH_ContC_pCun_2,RH_DorsAttnA_SPL_3,FrontoParietal,DorsalAttention,-0.06602810814587165,0.112501139578013,0.17852924772388465,0.17852924772388465,270.38370890389814
LH_SomMotA_5,RH_SomMotA_6,Somatomotor,Somatomotor,0.43800417908661254,0.2594837855855674,-0.17852039350104515,0.17852039350104515,-40.75769182689553
RH_ContA_PFCl_1,RH_ContC_pCun_2,FrontoParietal,FrontoParietal,-0.2898046971125234,-0.11159933768035067,0.1782053594321727,0.1782053594321727,61.49153592323603
LH_ContA_Temp_1,RH_ContB_PFClv_1,FrontoParietal,FrontoParietal,0.0333693703116724,-0.14457461333988436,-0.17794398365155675,0.17794398365155675,-533.255443508663
LH_DorsAttnB_PostC_1,RH_SomMotA_2,DorsalAttention,Somatomotor,0.23762560044759007,0.060061868049102615,-0.17756373239848744,0.17756373239848744,-74.72415937677991
LH_DefaultB_PFCd_1,LH_SalVentAttnB_PFCl_1,DefaultMode,VentralAttention,0.45463552455725587,0.2775954952441917,-0.17704002931306417,0.17704002931306417,-38.94109011509243
RH_ContB_IPL_1,RH_DefaultB_PFCv_1,FrontoParietal,DefaultMode,0.07857812428348332,0.25550756294143817,0.17692943865795485,0.17692943865795485,225.16373389068596
RH_DefaultC_Rsp_1,RH_SalVentAttnA_PrC_1,DefaultMode,VentralAttention,-0.2859146312316959,-0.10908476772765946,0.17682986350403646,0.17682986350403646,61.84708447492472
RH_DorsAttnA_SPL_3,RH_VisCent_ExStr_4,DorsalAttention,Visual,0.27009719007265814,0.09495649221501036,-0.1751406978576478,0.1751406978576478,-64.84358382644916
LH_SomMotB_S2_1,RH_SomMotB_S2_2,Somatomotor,Somatomotor,0.5194567488642361,0.3449032448503966,-0.1745535040138395,0.1745535040138395,-33.60308714738836
LH_ContC_pCun_2,RH_ContB_IPL_1,FrontoParietal,FrontoParietal,0.01770938945319427,-0.1559075750598885,-0.17361696451308278,0.17361696451308278,-980.3667425799777
RH_ContA_PFCl_2,RH_SalVentAttnA_PrC_1,FrontoParietal,VentralAttention,0.337260867248491,0.16389063457018452,-0.1733702326783065,0.1733702326783065,-51.40538067541905
RH_DefaultC_Rsp_1,RH_DorsAttnB_PostC_1,DefaultMode,DorsalAttention,-0.14645086969158014,0.026500097744904142,0.17295096743648428,0.17295096743648428,118.09487222623692
RH_ContA_PFCl_2,RH_SalVentAttnA_ParOper_1,FrontoParietal,VentralAttention,-0.01847082629588091,-0.19134761819789417,-0.17287679190201327,0.17287679190201327,-935.9450905591901
LH_DefaultB_Temp_3,LH_DefaultB_Temp_4,DefaultMode,DefaultMode,0.6332548113329912,0.4616919381812009,-0.1715628731517903,0.1715628731517903,-27.092233660357547
LH_DefaultC_Rsp_1,RH_ContC_pCun_2,DefaultMode,FrontoParietal,0.42034538328343884,0.24928201097362662,-0.17106337230981222,0.17106337230981222,-40.69590843929032
LH_DefaultC_Rsp_1,RH_ContB_IPL_1,DefaultMode,FrontoParietal,0.07997410162980474,-0.09107982936794538,-0.17105393099775013,0.17105393099775013,-213.88665519438828
RH_ContC_pCun_1,RH_SalVentAttnA_PrC_1,FrontoParietal,VentralAttention,-0.14420156306281046,0.026596088220357438,0.1707976512831679,0.1707976512831679,118.44368927455584
LH_ContA_IPS_2,LH_SomMotB_Cent_1,FrontoParietal,Somatomotor,0.14086435549205079,-0.02832766685439664,-0.16919202234644742,0.16919202234644742,-120.10988994018095
LH_DefaultA_IPL_1,RH_ContC_pCun_2,DefaultMode,FrontoParietal,0.34791981680120493,0.17903283747117332,-0.1688869793300316,0.1688869793300316,-48.54192580428109
LH_DefaultA_PFCm_2,RH_ContC_pCun_2,DefaultMode,FrontoParietal,0.1758552915740919,0.007017908615211682,-0.16883738295888023,0.16883738295888023,-96.00927071776235
LH_SalVentAttnA_Ins_1,RH_DefaultC_Rsp_1,VentralAttention,DefaultMode,-0.11905357381108736,0.04969240720305703,0.1687459810141444,0.1687459810141444,141.7395342385171
RH_SomMotA_1,RH_SomMotB_Cent_1,Somatomotor,Somatomotor,0.2903366170920294,0.12200377826594382,-0.16833283882608557,0.16833283882608557,-57.978508020133155
RH_ContB_IPL_2,RH_DefaultA_IPL_1,FrontoParietal,DefaultMode,0.23655967460602967,0.4046493086976548,0.16808963409162514,0.16808963409162514,71.05591194761506
RH_DefaultB_PFCv_1,RH_SalVentAttnA_ParOper_1,DefaultMode,VentralAttention,0.038718820679278565,-0.12919516203080986,-0.16791398271008842,0.16791398271008842,-433.6753541668489
RH_DefaultB_Temp_1,RH_DorsAttnA_SPL_3,DefaultMode,DorsalAttention,-0.27784188272205396,-0.10999897715703605,0.1678429055650179,0.1678429055650179,60.409504830819095
LH_DorsAttnA_SPL_2,RH_ContA_IPS_1,DorsalAttention,FrontoParietal,0.28005396735814997,0.1125309263299406,-0.16752304102820936,0.16752304102820936,-59.818128130272385
LH_SomMotA_2,RH_SomMotA_7,Somatomotor,Somatomotor,0.4148933822346838,0.24755652334607153,-0.16733685888861227,0.16733685888861227,-40.33249650483903
LH_DefaultC_Rsp_1,RH_DorsAttnB_PostC_1,DefaultMode,DorsalAttention,-0.1782609119283083,-0.011128815317625709,0.1671320966106826,0.1671320966106826,93.7570075249579
RH_ContB_IPL_1,RH_DefaultC_IPL_1,FrontoParietal,DefaultMode,0.2926716279978979,0.125650260244872,-0.16702136775302592,0.16702136775302592,-57.06783704849776
LH_DefaultC_Rsp_1,RH_VisCent_ExStr_4,DefaultMode,Visual,-0.12699339436985949,0.039659994117140135,0.16665338848699962,0.16665338848699962,131.22996618362143
LH_SalVentAttnA_Ins_1,RH_DefaultC_IPL_1,VentralAttention,DefaultMode,-0.21559242448089064,-0.04915108257786209,0.16644134190302856,0.16644134190302856,77.20185080890045
RH_ContA_IPS_2,RH_DefaultB_Temp_1,FrontoParietal,DefaultMode,-0.23756784111176438,-0.07118691454543322,0.16638092656633116,0.16638092656633116,70.03512166785943
LH_DorsAttnB_PostC_2,RH_SomMotA_2,DorsalAttention,Somatomotor,0.21339412984894698,0.04741236139765436,-0.16598176845129262,0.16598176845129262,-77.78178742254266
LH_DefaultC_Rsp_1,RH_SalVentAttnA_ParMed_2,DefaultMode,VentralAttention,-0.07299360677344711,0.09246782444796167,0.16546143122140877,0.16546143122140877,226.67934704878658
LH_SalVentAttnA_Ins_1,RH_DefaultB_PFCv_1,VentralAttention,DefaultMode,0.17201318183125897,0.006567129795509847,-0.1654460520357491,0.1654460520357491,-96.1821938728207
LH_DorsAttnB_FEF_1,RH_ContC_Cingp_1,DorsalAttention,FrontoParietal,-0.16891613765917826,-0.003843435337480667,0.1650727023216976,0.1650727023216976,97.724648816423
LH_SomMotB_S2_1,RH_SomMotA_6,Somatomotor,Somatomotor,0.23932089350733723,0.07434418619481811,-0.16497670731251912,0.16497670731251912,-68.93535490977146
LH_DefaultC_IPL_1,LH_SalVentAttnA_Ins_1,DefaultMode,VentralAttention,-0.11891258448373061,0.04605780279329559,0.1649703872770262,0.1649703872770262,138.73248823348646
RH_DefaultC_Rsp_1,RH_SalVentAttnA_ParMed_2,DefaultMode,VentralAttention,0.02426193531291841,0.18913559645593914,0.16487366114302074,0.16487366114302074,679.5569232897624
LH_DefaultC_IPL_1,RH_ContA_IPS_1,DefaultMode,FrontoParietal,0.20650856079821106,0.04181288419295671,-0.16469567660525436,0.16469567660525436,-79.75246932556274
RH_SalVentAttnA_FrOper_1,RH_SalVentAttnB_Ins_1,VentralAttention,VentralAttention,0.24296912086542158,0.07840922188784998,-0.16455989897757162,0.16455989897757162,-67.72872963915438
