feature,importance_gain,fold
connection_to_RH_VisPeri_ExStrInf_2,0.008636393,2
connection_to_RH_VisCent_ExStr_3,0.008628738,2
connection_to_RH_DefaultA_PFCm_1,0.008594093,2
connection_to_RH_ContB_PFCmp_1,0.008554581,2
connection_to_RH_DefaultB_AntTemp_1,0.008529463,2
connection_to_pCAU-rh,0.008515525,2
connection_to_mAMY-rh,0.008513714,2
connection_to_RH_SomMotA_8,0.0084996,2
connection_to_RH_ContC_pCun_2,0.008476101,2
connection_to_RH_LimbicB_OFC_4,0.008470988,2
connection_to_RH_SalVentAttnA_FrOper_1,0.008425346,2
connection_to_RH_SomMotB_Cent_1,0.008407206,2
connection_to_RH_SomMotB_Aud_1,0.0083789155,2
connection_to_RH_LimbicA_TempPole_3,0.008373827,2
connection_to_aPUT-rh,0.00832929,2
connection_to_RH_SomMotA_3,0.0083061475,2
connection_to_RH_TempPar_4,0.0083047645,2
connection_to_RH_SomMotA_5,0.008277106,2
connection_to_RH_SalVentAttnB_Ins_1,0.008232931,2
connection_to_RH_ContB_IPL_1,0.008217001,2
connection_to_lAMY-rh,0.008204173,2
connection_to_RH_ContB_IPL_2,0.008191781,2
connection_to_RH_ContA_PFCl_2,0.008152283,2
connection_to_RH_VisPeri_ExStrSup_3,0.008121296,2
connection_to_RH_DorsAttnB_FEF_1,0.008102891,2
connection_to_RH_VisCent_Striate_1,0.008090387,2
connection_to_RH_LimbicB_OFC_1,0.008074862,2
connection_to_RH_LimbicB_OFC_3,0.008060755,2
connection_to_THA-VP-rh,0.008045524,2
connection_to_THA-DP-rh,0.00800438,2
connection_to_RH_SalVentAttnB_PFCmp_1,0.0080008395,2
connection_to_RH_LimbicB_OFC_2,0.007990121,2
connection_to_THA-DA-rh,0.0079609165,2
connection_to_RH_SalVentAttnA_FrMed_2,0.007929064,2
connection_to_RH_DorsAttnA_ParOcc_1,0.007928426,2
connection_to_RH_SalVentAttnB_Ins_2,0.007885317,2
connection_to_RH_DorsAttnB_PostC_1,0.00787716,2
connection_to_RH_SalVentAttnA_FrMed_1,0.00782115,2
connection_to_RH_ContB_PFCld_3,0.0078066206,2
connection_to_RH_DefaultA_pCunPCC_1,0.007793891,2
connection_to_RH_ContA_PFCd_1,0.007772341,2
connection_to_RH_ContB_PFClv_2,0.0077608805,2
connection_to_RH_SalVentAttnB_PFCl_1,0.007657416,2
connection_to_RH_SomMotA_11,0.0076372544,2
connection_to_RH_SalVentAttnB_IPL_1,0.0076022143,2
connection_to_RH_SalVentAttnA_ParMed_2,0.007568139,2
connection_to_RH_TempPar_2,0.00742174,2
connection_to_RH_ContA_IPS_2,0.0073922095,2
connection_to_RH_DorsAttnB_PostC_3,0.007358632,2
connection_to_RH_LimbicA_TempPole_4,0.0072983615,2
connection_to_RH_ContA_PFCl_1,0.007236896,2
connection_to_RH_SalVentAttnA_ParOper_1,0.007230167,2
connection_to_RH_ContA_IPS_1,0.007172757,2
connection_to_RH_DefaultC_PHC_1,0.0071627754,2
connection_to_RH_DefaultC_Rsp_1,0.007142511,2
connection_to_RH_ContB_PFClv_1,0.0070273564,2
connection_to_RH_DefaultA_IPL_1,0.0070153093,2
connection_to_RH_DefaultC_IPL_1,0.0069932374,2
connection_to_NAc-core-rh,0.006977563,2
connection_to_RH_SalVentAttnA_Ins_2,0.0069586793,2
connection_to_RH_ContC_pCun_1,0.006949233,2
connection_to_RH_SomMotA_7,0.006754849,2
connection_to_RH_SalVentAttnB_PFClv_1,0.0067179007,2
connection_to_aHIP-rh,0.0067014447,2
connection_to_RH_SomMotA_2,0.0065865684,2
connection_to_RH_DorsAttnA_SPL_1,0.0064646504,2
connection_to_RH_VisCent_ExStr_2,0.0062868423,2
connection_to_RH_DefaultB_PFCv_1,0.0062599853,2
connection_to_RH_VisPeri_ExStrSup_2,0.006177909,2
connection_to_RH_ContB_PFCld_1,0.0059863236,2
connection_to_RH_DefaultB_Temp_1,0.0057439567,2
connection_to_RH_DorsAttnA_SPL_2,0.0056569027,2
connection_to_RH_VisPeri_ExStrSup_1,0.016019516,3
connection_to_RH_VisCent_ExStr_5,0.012967694,3
connection_to_RH_VisPeri_ExStrInf_1,0.011691845,3
connection_to_RH_VisPeri_StriCal_1,0.011655194,3
connection_to_pPUT-rh,0.011622802,3
connection_to_RH_ContA_Cingm_1,0.0115620205,3
connection_to_RH_ContB_Temp_2,0.011044183,3
connection_to_RH_SomMotB_S2_1,0.010890739,3
connection_to_RH_VisCent_ExStr_3,0.010795695,3
connection_to_RH_SomMotB_Aud_2,0.010715249,3
connection_to_THA-VA-rh,0.010678175,3
connection_to_pGP-rh,0.010655784,3
connection_to_RH_ContB_PFCld_2,0.010648841,3
connection_to_RH_SomMotB_S2_2,0.010645853,3
connection_to_RH_SomMotA_4,0.010324815,3
connection_to_RH_VisCent_ExStr_1,0.010243312,3
connection_to_RH_SalVentAttnA_ParMed_1,0.010195007,3
connection_to_RH_DorsAttnA_SPL_4,0.010011969,3
connection_to_RH_DorsAttnB_PostC_2,0.010002536,3
connection_to_RH_SomMotB_Aud_1,0.009970984,3
connection_to_RH_DefaultA_PFCm_2,0.009962277,3
connection_to_RH_LimbicA_TempPole_2,0.009960937,3
connection_to_RH_SomMotA_10,0.0099143945,3
connection_to_RH_DefaultB_AntTemp_1,0.009861207,3
connection_to_RH_SomMotA_9,0.009756441,3
connection_to_aGP-rh,0.00967126,3
connection_to_RH_VisCent_ExStr_4,0.009657076,3
connection_to_NAc-shell-rh,0.009618646,3
connection_to_aPUT-rh,0.009575991,3
connection_to_RH_SomMotB_S2_4,0.009527173,3
connection_to_RH_SomMotA_5,0.009515209,3
connection_to_THA-VP-rh,0.00944394,3
