region_idx,region_name,network,hemisphere,accuracy,error_rate,precision,recall,f1_score,fnr,fpr,n_samples,n_correct,n_errors,n_false_positives
76,LH_DefaultA_pCunPCC_1,DefaultA,left,0.965,0.03500000000000003,1.0,0.965,0.9821882951653944,0.035,0.0,200,193,7,0
77,LH_DefaultA_pCunPCC_2,DefaultA,left,0.95,0.050000000000000044,0.9844559585492227,0.95,0.9669211195928753,0.05,6.493506493506494e-05,200,190,10,3
78,LH_DefaultA_pCunPCC_3,DefaultA,left,0.925,0.07499999999999996,1.0,0.925,0.961038961038961,0.075,0.0,200,185,15,0
79,LH_DefaultA_PFCm_1,DefaultA,left,0.9,0.09999999999999998,0.9836065573770492,0.9,0.9399477806788511,0.1,6.493506493506494e-05,200,180,20,3
80,LH_DefaultA_PFCm_2,DefaultA,left,0.945,0.05500000000000005,0.9895287958115183,0.945,0.9667519181585678,0.055,4.329004329004329e-05,200,189,11,2
81,LH_DefaultA_PFCm_3,DefaultA,left,0.985,0.015000000000000013,1.0,0.985,0.9924433249370278,0.015,0.0,200,197,3,0
82,LH_DefaultB_Temp_1,DefaultB,left,0.865,0.135,0.9829545454545454,0.865,0.9202127659574468,0.135,6.493506493506494e-05,200,173,27,3
83,LH_DefaultB_Temp_2,DefaultB,left,0.875,0.125,0.875,0.875,0.875,0.125,0.0005411255411255411,200,175,25,25
84,LH_DefaultB_Temp_3,DefaultB,left,0.81,0.18999999999999995,0.9818181818181818,0.81,0.8876712328767123,0.19,6.493506493506494e-05,200,162,38,3
85,LH_DefaultB_Temp_4,DefaultB,left,0.895,0.10499999999999998,0.9728260869565217,0.895,0.9322916666666666,0.105,0.00010822510822510823,200,179,21,5
86,LH_DefaultB_IPL_1,DefaultB,left,0.915,0.08499999999999996,0.8672985781990521,0.915,0.8905109489051095,0.085,0.0006060606060606061,200,183,17,28
87,LH_DefaultB_PFCd_1,DefaultB,left,0.94,0.06000000000000005,1.0,0.94,0.9690721649484536,0.06,0.0,200,188,12,0
88,LH_DefaultB_PFCd_2,DefaultB,left,0.985,0.015000000000000013,0.985,0.985,0.985,0.015,6.493506493506494e-05,200,197,3,3
