region_idx,region_name,network,hemisphere,tp,fp,fn,bias_index,is_overpredicted,is_underpredicted
179,RH_ContB_PFCld_3,ContB,right,215,4,9,-0.38461538461242606,False,True
180,RH_ContC_pCun_1,ContC,right,222,1,2,-0.3333333333222222,False,True
181,RH_ContC_pCun_2,ContC,right,220,3,4,-0.14285714285510204,False,False
182,RH_ContC_Cingp_1,ContC,right,221,3,3,0.0,False,False
183,RH_DefaultA_IPL_1,DefaultA,right,207,17,17,0.0,False,False
184,RH_DefaultA_PFCd_1,DefaultA,right,200,18,24,-0.1428571428568027,False,False
185,RH_DefaultA_pCunPCC_1,DefaultA,right,224,0,0,0.0,False,False
186,RH_DefaultA_PFCm_1,DefaultA,right,221,3,3,0.0,False,False
187,RH_DefaultA_PFCm_2,DefaultA,right,147,130,77,0.2560386473428715,True,False
188,RH_DefaultA_PFCm_3,DefaultA,right,218,2,6,-0.49999999999375,False,True
189,RH_DefaultB_Temp_1,DefaultB,right,213,9,11,-0.0999999999995,False,False
190,RH_DefaultB_AntTemp_1,DefaultB,right,210,8,14,-0.2727272727260331,False,True
191,RH_DefaultB_PFCd_1,DefaultB,right,206,7,18,-0.43999999999824,False,True
192,RH_DefaultB_PFCv_1,DefaultB,right,217,7,7,0.0,False,False
193,RH_DefaultC_IPL_1,DefaultC,right,209,13,15,-0.07142857142831634,False,False
194,RH_DefaultC_Rsp_1,DefaultC,right,223,0,1,-0.9999999999,False,True
195,RH_DefaultC_PHC_1,DefaultC,right,212,3,12,-0.599999999996,False,True
196,RH_TempPar_1,TempPar,right,205,15,19,-0.11764705882318338,False,False
197,RH_TempPar_2,TempPar,right,200,22,24,-0.043478260869470695,False,False
198,RH_TempPar_3,TempPar,right,200,15,24,-0.23076923076863903,False,True
199,RH_TempPar_4,TempPar,right,204,21,20,0.024390243902379535,False,False
200,aHIP-rh,Hippocampus_ant,right,208,19,16,0.08571428571404081,False,False
201,pHIP-rh,Hippocampus_post,right,187,52,37,0.16853932584250725,False,False
202,lAMY-rh,Amygdala_lat,right,174,68,50,0.15254237288122666,False,False
203,mAMY-rh,Amygdala_med,right,192,32,32,0.0,False,False
204,THA-DP-rh,Thalamus_DP,right,175,63,49,0.1249999999998884,False,False
205,THA-VP-rh,Thalamus_VP,right,190,54,34,0.227272727272469,True,False
206,THA-VA-rh,Thalamus_VA,right,208,14,16,-0.06666666666644445,False,False
207,THA-DA-rh,Thalamus_DA,right,199,13,25,-0.3157894736833795,False,True
208,NAc-shell-rh,Accumbens_shell,right,181,61,43,0.17307692307675665,False,False
209,NAc-core-rh,Accumbens_core,right,197,35,27,0.12903225806430801,False,False
210,pGP-rh,Pallidum_post,right,103,157,121,0.12949640287765127,False,False
211,aGP-rh,Pallidum_ant,right,116,155,108,0.17870722433453282,False,False
212,aPUT-rh,Putamen_ant,right,217,5,7,-0.16666666666527777,False,False
213,pPUT-rh,Putamen_post,right,206,11,18,-0.24137931034399526,False,True
214,aCAU-rh,Caudate_ant,right,215,11,9,0.0999999999995,False,False
215,pCAU-rh,Caudate_post,right,210,7,14,-0.3333333333317461,False,True
216,aHIP-lh,Hippocampus_ant,left,204,12,20,-0.24999999999921874,False,True
217,pHIP-lh,Hippocampus_post,left,182,61,42,0.18446601941729662,False,False
218,lAMY-lh,Amygdala_lat,left,173,67,51,0.13559322033886814,False,False
219,mAMY-lh,Amygdala_med,left,193,38,31,0.10144927536217181,False,False
220,THA-DP-lh,Thalamus_DP,left,166,66,58,0.06451612903220603,False,False
221,THA-VP-lh,Thalamus_VP,left,182,49,42,0.07692307692299238,False,False
222,THA-VA-lh,Thalamus_VA,left,207,8,17,-0.35999999999856,False,True
223,THA-DA-lh,Thalamus_DA,left,202,20,22,-0.047619047618934235,False,False
224,NAc-shell-lh,Accumbens_shell,left,196,43,28,0.21126760563350525,True,False
225,NAc-core-lh,Accumbens_core,left,199,24,25,-0.020408163265264474,False,False
226,pGP-lh,Pallidum_post,left,118,150,106,0.17187499999993286,False,False
227,aGP-lh,Pallidum_ant,left,114,157,110,0.17602996254675055,False,False
228,aPUT-lh,Putamen_ant,left,213,4,11,-0.46666666666355555,False,True
229,pPUT-lh,Putamen_post,left,207,12,17,-0.17241379310285376,False,False
230,aCAU-lh,Caudate_ant,left,213,2,11,-0.6923076923023669,False,True
231,pCAU-lh,Caudate_post,left,207,14,17,-0.09677419354807493,False,False
