region_i_idx,region_j_idx,region_i,region_j,network_i,network_j,hemisphere_i,hemisphere_j,asymmetry,i_to_j_rate,j_to_i_rate,asymmetry_ratio
52,202,LH_LimbicA_TempPole_1,lAMY-rh,LimbicA,Amygdala_lat,left,right,-0.013392857142857142,0.004464285714285714,0.017857142857142856,0.25
99,196,LH_TempPar_2,RH_TempPar_1,TempPar,TempPar,left,right,0.013392857142857142,0.013392857142857142,0.0,inf
53,160,LH_LimbicA_TempPole_2,RH_LimbicA_TempPole_1,LimbicA,LimbicA,left,right,0.013392857142857142,0.026785714285714284,0.013392857142857142,2.0
56,210,LH_ContA_Temp_1,pGP-rh,ContA,Pallidum_post,left,right,0.013392857142857142,0.013392857142857142,0.0,inf
81,187,LH_DefaultA_PFCm_3,RH_DefaultA_PFCm_2,DefaultA,DefaultA,left,right,0.013392857142857142,0.013392857142857142,0.0,inf
86,211,LH_DefaultB_IPL_1,aGP-rh,DefaultB,Pallidum_ant,left,right,0.013392857142857142,0.013392857142857142,0.0,inf
86,187,LH_DefaultB_IPL_1,RH_DefaultA_PFCm_2,DefaultB,DefaultA,left,right,0.013392857142857142,0.017857142857142856,0.004464285714285714,4.0
50,176,LH_LimbicB_OFC_1,RH_ContB_PFClv_1,LimbicB,ContB,left,right,-0.013392857142857142,0.004464285714285714,0.017857142857142856,0.25
50,201,LH_LimbicB_OFC_1,pHIP-rh,LimbicB,Hippocampus_post,left,right,0.013392857142857142,0.013392857142857142,0.0,inf
50,226,LH_LimbicB_OFC_1,pGP-lh,LimbicB,Pallidum_post,left,left,0.013392857142857142,0.013392857142857142,0.0,inf
50,203,LH_LimbicB_OFC_1,mAMY-rh,LimbicB,Amygdala_med,left,right,-0.013392857142857142,0.0,0.013392857142857142,0.0
53,162,LH_LimbicA_TempPole_2,RH_LimbicA_TempPole_3,LimbicA,LimbicA,left,right,0.013392857142857142,0.013392857142857142,0.0,inf
54,190,LH_LimbicA_TempPole_3,RH_DefaultB_AntTemp_1,LimbicA,DefaultB,left,right,-0.013392857142857142,0.004464285714285714,0.017857142857142856,0.25
55,92,LH_LimbicA_TempPole_4,LH_DefaultB_PFCv_2,LimbicA,DefaultB,left,left,0.013392857142857142,0.017857142857142856,0.004464285714285714,4.0
217,226,pHIP-lh,pGP-lh,Hippocampus_post,Pallidum_post,left,left,0.013392857142857142,0.013392857142857142,0.0,inf
211,228,aGP-rh,aPUT-lh,Pallidum_ant,Putamen_ant,right,left,-0.013392857142857142,0.0,0.013392857142857142,0.0
215,226,pCAU-rh,pGP-lh,Caudate_post,Pallidum_post,right,left,0.013392857142857142,0.013392857142857142,0.0,inf
217,218,pHIP-lh,lAMY-lh,Hippocampus_post,Amygdala_lat,left,left,-0.013392857142857142,0.004464285714285714,0.017857142857142856,0.25
22,221,LH_SomMotB_S2_1,THA-VP-lh,SomMotB,Thalamus_VP,left,left,0.013392857142857142,0.013392857142857142,0.0,inf
205,220,THA-VP-rh,THA-DP-lh,Thalamus_VP,Thalamus_DP,right,left,0.008928571428571432,0.04017857142857143,0.03125,1.2857142857142858
