region_idx,region_name,network,hemisphere,tp,fp,fn,bias_index,is_overpredicted,is_underpredicted
93,LH_DefaultB_PFCv_3,DefaultB,left,188,9,12,-0.1428571428564626,False,False
94,LH_DefaultB_PFCv_4,DefaultB,left,187,1,13,-0.8571428571367347,False,True
95,LH_DefaultC_IPL_1,DefaultC,left,190,3,10,-0.5384615384573964,False,True
96,LH_DefaultC_Rsp_1,DefaultC,left,197,0,3,-0.9999999999666667,False,True
97,LH_DefaultC_PHC_1,DefaultC,left,189,20,11,0.2903225806442248,True,False
98,LH_TempPar_1,TempPar,left,162,16,38,-0.40740740740665293,False,True
99,LH_TempPar_2,TempPar,left,160,62,40,0.21568627450959246,True,False
100,RH_VisCent_ExStr_1,VisCent,right,198,0,2,-0.99999999995,False,True
101,RH_VisCent_ExStr_2,VisCent,right,182,1,18,-0.8947368421005542,False,True
102,RH_VisCent_Striate_1,VisCent,right,193,2,7,-0.5555555555493827,False,True
103,RH_VisCent_ExStr_3,VisCent,right,183,10,17,-0.25925925925829907,False,True
104,RH_VisCent_ExStr_4,VisCent,right,189,6,11,-0.2941176470570935,False,True
105,RH_VisCent_ExStr_5,VisCent,right,197,0,3,-0.9999999999666667,False,True
106,RH_VisPeri_ExStrInf_1,VisPeri,right,193,3,7,-0.399999999996,False,True
107,RH_VisPeri_ExStrInf_2,VisPeri,right,182,4,18,-0.6363636363607439,False,True
108,RH_VisPeri_StriCal_1,VisPeri,right,196,0,4,-0.999999999975,False,True
109,RH_VisPeri_ExStrSup_1,VisPeri,right,173,4,27,-0.7419354838685744,False,True
110,RH_VisPeri_ExStrSup_2,VisPeri,right,193,2,7,-0.5555555555493827,False,True
111,RH_VisPeri_ExStrSup_3,VisPeri,right,189,8,11,-0.15789473684127425,False,False
112,RH_SomMotA_1,SomMotA,right,196,4,4,0.0,False,False
113,RH_SomMotA_2,SomMotA,right,189,11,11,0.0,False,False
114,RH_SomMotA_3,SomMotA,right,190,8,10,-0.11111111111049383,False,False
115,RH_SomMotA_4,SomMotA,right,195,1,5,-0.6666666666555555,False,True
116,RH_SomMotA_5,SomMotA,right,192,22,8,0.46666666666511114,True,False
117,RH_SomMotA_6,SomMotA,right,200,2,0,0.99999999995,True,False
118,RH_SomMotA_7,SomMotA,right,188,24,12,0.3333333333324074,True,False
119,RH_SomMotA_8,SomMotA,right,191,8,9,-0.05882352941141869,False,False
120,RH_SomMotA_9,SomMotA,right,192,12,8,0.199999999999,False,False
121,RH_SomMotA_10,SomMotA,right,197,2,3,-0.199999999996,False,False
122,RH_SomMotA_11,SomMotA,right,187,0,13,-0.9999999999923077,False,True
123,RH_SomMotB_Aud_1,SomMotB,right,179,6,21,-0.555555555553498,False,True
124,RH_SomMotB_Aud_2,SomMotB,right,177,7,23,-0.5333333333315556,False,True
125,RH_SomMotB_S2_1,SomMotB,right,163,7,37,-0.6818181818166322,False,True
126,RH_SomMotB_S2_2,SomMotB,right,174,14,26,-0.29999999999925,False,True
127,RH_SomMotB_S2_3,SomMotB,right,171,2,29,-0.8709677419326743,False,True
128,RH_SomMotB_S2_4,SomMotB,right,184,6,16,-0.45454545454338846,False,True
129,RH_SomMotB_Cent_1,SomMotB,right,194,0,6,-0.9999999999833333,False,True
130,RH_DorsAttnA_TempOcc_1,DorsAttnA,right,194,1,6,-0.7142857142755102,False,True
131,RH_DorsAttnA_ParOcc_1,DorsAttnA,right,181,39,19,0.344827586206302,True,False
132,RH_DorsAttnA_SPL_1,DorsAttnA,right,193,2,7,-0.5555555555493827,False,True
133,RH_DorsAttnA_SPL_2,DorsAttnA,right,193,5,7,-0.16666666666527777,False,False
134,RH_DorsAttnA_SPL_3,DorsAttnA,right,174,6,26,-0.6249999999980469,False,True
135,RH_DorsAttnA_SPL_4,DorsAttnA,right,182,6,18,-0.4999999999979167,False,True
136,RH_DorsAttnB_PostC_1,DorsAttnB,right,176,5,24,-0.6551724137908442,False,True
137,RH_DorsAttnB_PostC_2,DorsAttnB,right,193,3,7,-0.399999999996,False,True
138,RH_DorsAttnB_PostC_3,DorsAttnB,right,193,9,7,0.12499999999921876,False,False
139,RH_DorsAttnB_PostC_4,DorsAttnB,right,197,8,3,0.45454545454132234,True,False
140,RH_DorsAttnB_FEF_1,DorsAttnB,right,174,25,26,-0.019607843137216453,False,False
141,RH_SalVentAttnA_ParOper_1,SalVentAttnA,right,188,6,12,-0.3333333333314815,False,True
142,RH_SalVentAttnA_PrC_1,SalVentAttnA,right,117,36,83,-0.3949579831929454,False,True
143,RH_SalVentAttnA_Ins_1,SalVentAttnA,right,151,85,49,0.26865671641771,True,False
144,RH_SalVentAttnA_Ins_2,SalVentAttnA,right,171,23,29,-0.11538461538439349,False,False
145,RH_SalVentAttnA_FrOper_1,SalVentAttnA,right,183,1,17,-0.8888888888839507,False,True
146,RH_SalVentAttnA_FrMed_1,SalVentAttnA,right,193,6,7,-0.0769230769224852,False,False
147,RH_SalVentAttnA_ParMed_1,SalVentAttnA,right,169,63,31,0.34042553191453145,True,False
