true_idx,pred_idx,error_rate,error_type,true_region,pred_region,true_network,pred_network,true_hemisphere,pred_hemisphere
20,211,0.004464285714285714,cross_hemi_diff_network,LH_SomMotB_Aud_1,aGP-rh,SomMotB,Pallidum_ant,left,right
20,217,0.004464285714285714,cross_network_same_hemi,LH_SomMotB_Aud_1,pHIP-lh,SomMotB,Hippocampus_post,left,left
21,8,0.004464285714285714,cross_network_same_hemi,LH_SomMotB_Aud_2,LH_VisPeri_ExStrInf_3,SomMotB,VisPeri,left,left
21,118,0.004464285714285714,cross_hemi_diff_network,LH_SomMotB_Aud_2,RH_SomMotA_7,SomMotB,SomMotA,left,right
21,125,0.004464285714285714,within_network,LH_SomMotB_Aud_2,RH_SomMotB_S2_1,SomMotB,SomMotB,left,right
21,147,0.004464285714285714,cross_hemi_diff_network,LH_SomMotB_Aud_2,RH_SalVentAttnA_ParMed_1,SomMotB,SalVentAttnA,left,right
22,20,0.004464285714285714,within_network,LH_SomMotB_S2_1,LH_SomMotB_Aud_1,SomMotB,SomMotB,left,left
22,24,0.004464285714285714,within_network,LH_SomMotB_S2_1,LH_SomMotB_Aud_3,SomMotB,SomMotB,left,left
22,30,0.004464285714285714,cross_network_same_hemi,LH_SomMotB_S2_1,LH_DorsAttnA_ParOcc_1,SomMotB,DorsAttnA,left,left
22,40,0.004464285714285714,cross_network_same_hemi,LH_SomMotB_S2_1,LH_SalVentAttnA_Ins_1,SomMotB,SalVentAttnA,left,left
22,55,0.004464285714285714,cross_network_same_hemi,LH_SomMotB_S2_1,LH_LimbicA_TempPole_4,SomMotB,LimbicA,left,left
22,147,0.004464285714285714,cross_hemi_diff_network,LH_SomMotB_S2_1,RH_SalVentAttnA_ParMed_1,SomMotB,SalVentAttnA,left,right
22,201,0.004464285714285714,cross_hemi_diff_network,LH_SomMotB_S2_1,pHIP-rh,SomMotB,Hippocampus_post,left,right
22,204,0.008928571428571428,cross_hemi_diff_network,LH_SomMotB_S2_1,THA-DP-rh,SomMotB,Thalamus_DP,left,right
