region_idx,region_name,network,hemisphere,accuracy,error_rate,precision,recall,f1_score,fnr,fpr,n_samples,n_correct,n_errors,n_false_positives
18,LH_SomMotA_7,SomMotA,left,0.9821428571428571,0.017857142857142905,0.995475113122172,0.9821428571428571,0.9887640449438202,0.017857142857142856,1.932591218305504e-05,224,220,4,1
19,LH_SomMotA_8,SomMotA,left,0.9642857142857143,0.0357142857142857,0.9773755656108597,0.9642857142857143,0.9707865168539326,0.03571428571428571,9.66295609152752e-05,224,216,8,5
20,LH_SomMotB_Aud_1,SomMotB,left,0.9375,0.0625,0.9292035398230089,0.9375,0.9333333333333333,0.0625,0.00030921459492888067,224,210,14,16
21,LH_SomMotB_Aud_2,SomMotB,left,0.9821428571428571,0.017857142857142905,0.990990990990991,0.9821428571428571,0.9865470852017937,0.017857142857142856,3.865182436611008e-05,224,220,4,2
22,LH_SomMotB_S2_1,SomMotB,left,0.9241071428571429,0.0758928571428571,0.9,0.9241071428571429,0.9118942731277534,0.07589285714285714,0.0004444959802102659,224,207,17,23
23,LH_SomMotB_S2_2,SomMotB,left,0.9910714285714286,0.008928571428571397,0.9955156950672646,0.9910714285714286,0.9932885906040269,0.008928571428571428,1.932591218305504e-05,224,222,2,1
24,LH_SomMotB_Aud_3,SomMotB,left,0.9419642857142857,0.0580357142857143,0.9336283185840708,0.9419642857142857,0.9377777777777778,0.05803571428571429,0.0002898886827458256,224,211,13,15
25,LH_SomMotB_S2_3,SomMotB,left,0.96875,0.03125,0.96875,0.96875,0.96875,0.03125,0.00013528138528138528,224,217,7,7
26,LH_SomMotB_Cent_1,SomMotB,left,0.9910714285714286,0.008928571428571397,1.0,0.9910714285714286,0.9955156950672646,0.008928571428571428,0.0,224,222,2,0
27,LH_SomMotB_Cent_2,SomMotB,left,0.9508928571428571,0.049107142857142905,0.9342105263157895,0.9508928571428571,0.9424778761061946,0.049107142857142856,0.0002898886827458256,224,213,11,15
28,LH_DorsAttnA_TempOcc_1,DorsAttnA,left,0.9464285714285714,0.0535714285714286,0.9506726457399103,0.9464285714285714,0.9485458612975392,0.05357142857142857,0.00021258503401360543,224,212,12,11
29,LH_DorsAttnA_TempOcc_2,DorsAttnA,left,0.9508928571428571,0.049107142857142905,0.9726027397260274,0.9508928571428571,0.9616252821670428,0.049107142857142856,0.00011595547309833024,224,213,11,6
30,LH_DorsAttnA_ParOcc_1,DorsAttnA,left,0.8839285714285714,0.1160714285714286,0.8722466960352423,0.8839285714285714,0.8780487804878049,0.11607142857142858,0.0005604514533085962,224,198,26,29
31,LH_DorsAttnA_SPL_1,DorsAttnA,left,0.9375,0.0625,0.9417040358744395,0.9375,0.9395973154362417,0.0625,0.0002512368583797155,224,210,14,13
32,LH_DorsAttnA_SPL_2,DorsAttnA,left,0.9553571428571429,0.044642857142857095,0.981651376146789,0.9553571428571429,0.9683257918552036,0.044642857142857144,7.730364873222017e-05,224,214,10,4
33,LH_DorsAttnA_SPL_3,DorsAttnA,left,0.9196428571428571,0.0803571428571429,0.911504424778761,0.9196428571428571,0.9155555555555556,0.08035714285714286,0.0003865182436611008,224,206,18,20
34,LH_DorsAttnB_PostC_1,DorsAttnB,left,0.96875,0.03125,0.9517543859649122,0.96875,0.9601769911504425,0.03125,0.00021258503401360543,224,217,7,11
35,LH_DorsAttnB_PostC_2,DorsAttnB,left,0.9508928571428571,0.049107142857142905,0.9594594594594594,0.9508928571428571,0.9551569506726457,0.049107142857142856,0.00017393320964749536,224,213,11,9
36,LH_DorsAttnB_PostC_3,DorsAttnB,left,0.9241071428571429,0.0758928571428571,0.9672897196261683,0.9241071428571429,0.9452054794520548,0.07589285714285714,0.00013528138528138528,224,207,17,7
37,LH_DorsAttnB_PostC_4,DorsAttnB,left,0.9508928571428571,0.049107142857142905,0.9770642201834863,0.9508928571428571,0.9638009049773757,0.049107142857142856,9.66295609152752e-05,224,213,11,5
38,LH_DorsAttnB_FEF_1,DorsAttnB,left,0.8973214285714286,0.1026785714285714,0.9262672811059908,0.8973214285714286,0.9115646258503401,0.10267857142857142,0.00030921459492888067,224,201,23,16
39,LH_SalVentAttnA_ParOper_1,SalVentAttnA,left,0.9776785714285714,0.022321428571428603,0.9954545454545455,0.9776785714285714,0.9864864864864865,0.022321428571428572,1.932591218305504e-05,224,219,5,1
40,LH_SalVentAttnA_Ins_1,SalVentAttnA,left,0.90625,0.09375,0.9144144144144144,0.90625,0.9103139013452916,0.09375,0.00036719233147804577,224,203,21,19
41,LH_SalVentAttnA_FrOper_1,SalVentAttnA,left,0.9375,0.0625,0.9545454545454546,0.9375,0.9459459459459459,0.0625,0.0001932591218305504,224,210,14,10
42,LH_SalVentAttnA_FrOper_2,SalVentAttnA,left,0.9375,0.0625,0.958904109589041,0.9375,0.9480812641083523,0.0625,0.00017393320964749536,224,210,14,9
