region_idx,region_name,network,hemisphere,cv_error_rate,task_error_rate,error_increase,relative_increase_pct
58,LH_ContA_IPS_2,ContA,left,0.0535714285714286,0.025000000000000022,-0.02857142857142858,-53.33333323377776
59,LH_ContA_IPS_3,ContA,left,0.0625,0.04500000000000004,-0.01749999999999996,-27.99999995519994
60,LH_ContA_PFCd_1,ContA,left,0.0758928571428571,0.07999999999999996,0.004107142857142865,5.411764698751571
61,LH_ContA_PFClv_1,ContA,left,0.0625,0.17500000000000004,0.11250000000000004,179.9999997120001
62,LH_ContA_PFCl_1,ContA,left,0.0357142857142857,0.09999999999999998,0.06428571428571428,179.99999949600004
63,LH_ContA_PFCl_2,ContA,left,0.0803571428571429,0.18000000000000005,0.09964285714285714,123.99999984568883
64,LH_ContA_PFCl_3,ContA,left,0.125,0.08499999999999996,-0.040000000000000036,-31.99999997440003
65,LH_ContA_Cingm_1,ContA,left,0.0803571428571429,0.24,0.1596428571428571,198.66666641943686
66,LH_ContB_Temp_1,ContB,left,0.0803571428571429,0.05500000000000005,-0.025357142857142856,-31.555555516286404
67,LH_ContB_IPL_1,ContB,left,0.0535714285714286,0.010000000000000009,-0.043571428571428594,-81.33333318151111
68,LH_ContB_PFCl_1,ContB,left,0.0357142857142857,0.030000000000000027,-0.005714285714285672,-15.999999955199886
69,LH_ContB_PFClv_1,ContB,left,0.0803571428571429,0.020000000000000018,-0.06035714285714289,-75.11111101763952
70,LH_ContB_PFClv_2,ContB,left,0.0892857142857143,0.11499999999999999,0.02571428571428569,28.799999967743968
71,LH_ContC_pCun_1,ContC,left,0.0,0.06499999999999995,0.06499999999999995,64999999999.99994
72,LH_ContC_pCun_2,ContC,left,0.0267857142857143,0.030000000000000027,0.003214285714285725,11.999999955200034
73,LH_ContC_Cingp_1,ContC,left,0.013392857142857095,0.050000000000000044,0.03660714285714295,273.33333129244613
74,LH_DefaultA_IPL_1,DefaultA,left,0.0357142857142857,0.04500000000000004,0.009285714285714342,25.999999927200168
75,LH_DefaultA_PFCd_1,DefaultA,left,0.0401785714285714,0.06000000000000005,0.019821428571428656,49.333333210548396
76,LH_DefaultA_pCunPCC_1,DefaultA,left,0.013392857142857095,0.03500000000000003,0.021607142857142936,161.33333212871227
77,LH_DefaultA_pCunPCC_2,DefaultA,left,0.03125,0.050000000000000044,0.018750000000000044,59.99999980800014
78,LH_DefaultA_pCunPCC_3,DefaultA,left,0.0267857142857143,0.07499999999999996,0.048214285714285654,179.99999932799966
79,LH_DefaultA_PFCm_1,DefaultA,left,0.0625,0.09999999999999998,0.03749999999999998,59.99999990399997
80,LH_DefaultA_PFCm_2,DefaultA,left,0.049107142857142905,0.05500000000000005,0.005892857142857144,11.999999975563627
81,LH_DefaultA_PFCm_3,DefaultA,left,0.017857142857142905,0.015000000000000013,-0.0028571428571428914,-15.999999910400147
82,LH_DefaultB_Temp_1,DefaultB,left,0.0625,0.135,0.07250000000000001,115.99999981440004
83,LH_DefaultB_Temp_2,DefaultB,left,0.125,0.125,0.0,0.0
84,LH_DefaultB_Temp_3,DefaultB,left,0.0669642857142857,0.18999999999999995,0.12303571428571425,183.73333305895824
85,LH_DefaultB_Temp_4,DefaultB,left,0.044642857142857095,0.10499999999999998,0.06035714285714289,135.1999996971522
86,LH_DefaultB_IPL_1,DefaultB,left,0.1294642857142857,0.08499999999999996,-0.044464285714285734,-34.3448275596785
87,LH_DefaultB_PFCd_1,DefaultB,left,0.013392857142857095,0.06000000000000005,0.04660714285714296,347.999997401602
88,LH_DefaultB_PFCd_2,DefaultB,left,0.017857142857142905,0.015000000000000013,-0.0028571428571428914,-15.999999910400147
89,LH_DefaultB_PFCd_3,DefaultB,left,0.0535714285714286,0.030000000000000027,-0.023571428571428577,-43.99999991786665
90,LH_DefaultB_PFCd_4,DefaultB,left,0.044642857142857095,0.030000000000000027,-0.014642857142857069,-32.79999992652787
91,LH_DefaultB_PFCv_1,DefaultB,left,0.0758928571428571,0.05500000000000005,-0.020892857142857046,-27.529411728431725
92,LH_DefaultB_PFCv_2,DefaultB,left,0.1473214285714286,0.21999999999999997,0.07267857142857137,49.33333329984641
93,LH_DefaultB_PFCv_3,DefaultB,left,0.044642857142857095,0.06000000000000005,0.015357142857142958,34.39999992294426
94,LH_DefaultB_PFCv_4,DefaultB,left,0.0401785714285714,0.06499999999999995,0.02482142857142855,61.77777762401975
95,LH_DefaultC_IPL_1,DefaultC,left,0.044642857142857095,0.050000000000000044,0.005357142857142949,11.99999997312022
96,LH_DefaultC_Rsp_1,DefaultC,left,0.008928571428571397,0.015000000000000013,0.0060714285714286165,67.99999923840076
97,LH_DefaultC_PHC_1,DefaultC,left,0.049107142857142905,0.05500000000000005,0.005892857142857144,11.999999975563627
98,LH_TempPar_1,TempPar,left,0.1026785714285714,0.18999999999999995,0.08732142857142855,85.04347817804462
99,LH_TempPar_2,TempPar,left,0.1517857142857143,0.19999999999999996,0.048214285714285654,31.76470586142556
100,RH_VisCent_ExStr_1,VisCent,right,0.017857142857142905,0.010000000000000009,-0.007857142857142896,-43.9999997536001
101,RH_VisCent_ExStr_2,VisCent,right,0.0714285714285714,0.08999999999999997,0.018571428571428572,25.99999996360001
102,RH_VisCent_Striate_1,VisCent,right,0.008928571428571397,0.03500000000000003,0.026071428571428634,291.9999967296018
103,RH_VisCent_ExStr_3,VisCent,right,0.0669642857142857,0.08499999999999996,0.018035714285714266,26.933333293112867
104,RH_VisCent_ExStr_4,VisCent,right,0.0267857142857143,0.05500000000000005,0.028214285714285747,105.33333294008895
105,RH_VisCent_ExStr_5,VisCent,right,0.013392857142857095,0.015000000000000013,0.001607142857142918,11.999999910400499
106,RH_VisPeri_ExStrInf_1,VisPeri,right,0.013392857142857095,0.03500000000000003,0.021607142857142936,161.33333212871227
107,RH_VisPeri_ExStrInf_2,VisPeri,right,0.03125,0.08999999999999997,0.05874999999999997,187.9999993983999
108,RH_VisPeri_StriCal_1,VisPeri,right,0.004464285714285698,0.020000000000000018,0.01553571428571432,347.9999922048022
109,RH_VisPeri_ExStrSup_1,VisPeri,right,0.03125,0.135,0.10375000000000001,331.9999989376
110,RH_VisPeri_ExStrSup_2,VisPeri,right,0.013392857142857095,0.03500000000000003,0.021607142857142936,161.33333212871227
111,RH_VisPeri_ExStrSup_3,VisPeri,right,0.03125,0.05500000000000005,0.02375000000000005,75.99999975680015
112,RH_SomMotA_1,SomMotA,right,0.049107142857142905,0.020000000000000018,-0.029107142857142887,-59.27272715202645
113,RH_SomMotA_2,SomMotA,right,0.0401785714285714,0.05500000000000005,0.014821428571428652,36.888888797076774
114,RH_SomMotA_3,SomMotA,right,0.0714285714285714,0.050000000000000044,-0.021428571428571352,-29.999999957999908
115,RH_SomMotA_4,SomMotA,right,0.0401785714285714,0.025000000000000022,-0.015178571428571375,-37.77777768375298
116,RH_SomMotA_5,SomMotA,right,0.0669642857142857,0.040000000000000036,-0.026964285714285663,-40.26666660653505
117,RH_SomMotA_6,SomMotA,right,0.0357142857142857,0.0,-0.0357142857142857,-99.99999972
118,RH_SomMotA_7,SomMotA,right,0.044642857142857095,0.06000000000000005,0.015357142857142958,34.39999992294426
119,RH_SomMotA_8,SomMotA,right,0.0580357142857143,0.04500000000000004,-0.013035714285714262,-22.461538422835456
