true_idx,pred_idx,error_rate,error_type,true_region,pred_region,true_network,pred_network,true_hemisphere,pred_hemisphere
8,205,0.005,cross_hemi_diff_network,LH_VisPeri_ExStrInf_3,THA-VP-rh,VisPeri,Thalamus_VP,left,right
8,210,0.025,cross_hemi_diff_network,LH_VisPeri_ExStrInf_3,pGP-rh,VisPeri,Pallidum_post,left,right
8,218,0.005,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,lAMY-lh,VisPeri,Amygdala_lat,left,left
8,220,0.005,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,THA-DP-lh,VisPeri,Thalamus_DP,left,left
8,224,0.005,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,NAc-shell-lh,VisPeri,Accumbens_shell,left,left
8,226,0.005,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,pGP-lh,VisPeri,Pallidum_post,left,left
8,227,0.005,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,aGP-lh,VisPeri,Pallidum_ant,left,left
8,231,0.005,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,pCAU-lh,VisPeri,Caudate_post,left,left
9,8,0.01,within_network,LH_VisPeri_StriCal_1,LH_VisPeri_ExStrInf_3,VisPeri,VisPeri,left,left
9,111,0.005,within_network,LH_VisPeri_StriCal_1,RH_VisPeri_ExStrSup_3,VisPeri,VisPeri,left,right
10,8,0.015,within_network,LH_VisPeri_ExStrSup_1,LH_VisPeri_ExStrInf_3,VisPeri,VisPeri,left,left
10,107,0.005,within_network,LH_VisPeri_ExStrSup_1,RH_VisPeri_ExStrInf_2,VisPeri,VisPeri,left,right
10,111,0.005,within_network,LH_VisPeri_ExStrSup_1,RH_VisPeri_ExStrSup_3,VisPeri,VisPeri,left,right
10,201,0.005,cross_hemi_diff_network,LH_VisPeri_ExStrSup_1,pHIP-rh,VisPeri,Hippocampus_post,left,right
10,204,0.005,cross_hemi_diff_network,LH_VisPeri_ExStrSup_1,THA-DP-rh,VisPeri,Thalamus_DP,left,right
10,210,0.005,cross_hemi_diff_network,LH_VisPeri_ExStrSup_1,pGP-rh,VisPeri,Pallidum_post,left,right
10,220,0.005,cross_network_same_hemi,LH_VisPeri_ExStrSup_1,THA-DP-lh,VisPeri,Thalamus_DP,left,left
10,227,0.005,cross_network_same_hemi,LH_VisPeri_ExStrSup_1,aGP-lh,VisPeri,Pallidum_ant,left,left
11,6,0.005,within_network,LH_VisPeri_ExStrSup_2,LH_VisPeri_ExStrInf_1,VisPeri,VisPeri,left,left
11,204,0.005,cross_hemi_diff_network,LH_VisPeri_ExStrSup_2,THA-DP-rh,VisPeri,Thalamus_DP,left,right
12,55,0.005,cross_network_same_hemi,LH_SomMotA_1,LH_LimbicA_TempPole_4,SomMotA,LimbicA,left,left
12,97,0.005,cross_network_same_hemi,LH_SomMotA_1,LH_DefaultC_PHC_1,SomMotA,DefaultC,left,left
12,137,0.005,cross_hemi_diff_network,LH_SomMotA_1,RH_DorsAttnB_PostC_2,SomMotA,DorsAttnB,left,right
12,142,0.005,cross_hemi_diff_network,LH_SomMotA_1,RH_SalVentAttnA_PrC_1,SomMotA,SalVentAttnA,left,right
12,148,0.005,cross_hemi_diff_network,LH_SomMotA_1,RH_SalVentAttnA_ParMed_2,SomMotA,SalVentAttnA,left,right
12,202,0.005,cross_hemi_diff_network,LH_SomMotA_1,lAMY-rh,SomMotA,Amygdala_lat,left,right
12,205,0.005,cross_hemi_diff_network,LH_SomMotA_1,THA-VP-rh,SomMotA,Thalamus_VP,left,right
12,210,0.015,cross_hemi_diff_network,LH_SomMotA_1,pGP-rh,SomMotA,Pallidum_post,left,right
12,225,0.005,cross_network_same_hemi,LH_SomMotA_1,NAc-core-lh,SomMotA,Accumbens_core,left,left
12,226,0.01,cross_network_same_hemi,LH_SomMotA_1,pGP-lh,SomMotA,Pallidum_post,left,left
13,7,0.005,cross_network_same_hemi,LH_SomMotA_2,LH_VisPeri_ExStrInf_2,SomMotA,VisPeri,left,left
13,17,0.005,within_network,LH_SomMotA_2,LH_SomMotA_6,SomMotA,SomMotA,left,left
13,55,0.005,cross_network_same_hemi,LH_SomMotA_2,LH_LimbicA_TempPole_4,SomMotA,LimbicA,left,left
13,64,0.005,cross_network_same_hemi,LH_SomMotA_2,LH_ContA_PFCl_3,SomMotA,ContA,left,left
13,139,0.005,cross_hemi_diff_network,LH_SomMotA_2,RH_DorsAttnB_PostC_4,SomMotA,DorsAttnB,left,right
13,162,0.005,cross_hemi_diff_network,LH_SomMotA_2,RH_LimbicA_TempPole_3,SomMotA,LimbicA,left,right
13,204,0.005,cross_hemi_diff_network,LH_SomMotA_2,THA-DP-rh,SomMotA,Thalamus_DP,left,right
13,208,0.005,cross_hemi_diff_network,LH_SomMotA_2,NAc-shell-rh,SomMotA,Accumbens_shell,left,right
13,227,0.005,cross_network_same_hemi,LH_SomMotA_2,aGP-lh,SomMotA,Pallidum_ant,left,left
14,8,0.005,cross_network_same_hemi,LH_SomMotA_3,LH_VisPeri_ExStrInf_3,SomMotA,VisPeri,left,left
14,16,0.005,within_network,LH_SomMotA_3,LH_SomMotA_5,SomMotA,SomMotA,left,left
14,17,0.01,within_network,LH_SomMotA_3,LH_SomMotA_6,SomMotA,SomMotA,left,left
14,24,0.005,cross_network_same_hemi,LH_SomMotA_3,LH_SomMotB_Aud_3,SomMotA,SomMotB,left,left
14,27,0.01,cross_network_same_hemi,LH_SomMotA_3,LH_SomMotB_Cent_2,SomMotA,SomMotB,left,left
14,31,0.005,cross_network_same_hemi,LH_SomMotA_3,LH_DorsAttnA_SPL_1,SomMotA,DorsAttnA,left,left
14,37,0.005,cross_network_same_hemi,LH_SomMotA_3,LH_DorsAttnB_PostC_4,SomMotA,DorsAttnB,left,left
14,38,0.01,cross_network_same_hemi,LH_SomMotA_3,LH_DorsAttnB_FEF_1,SomMotA,DorsAttnB,left,left
14,64,0.005,cross_network_same_hemi,LH_SomMotA_3,LH_ContA_PFCl_3,SomMotA,ContA,left,left
14,114,0.005,within_network,LH_SomMotA_3,RH_SomMotA_3,SomMotA,SomMotA,left,right
14,147,0.005,cross_hemi_diff_network,LH_SomMotA_3,RH_SalVentAttnA_ParMed_1,SomMotA,SalVentAttnA,left,right
14,226,0.01,cross_network_same_hemi,LH_SomMotA_3,pGP-lh,SomMotA,Pallidum_post,left,left
14,227,0.005,cross_network_same_hemi,LH_SomMotA_3,aGP-lh,SomMotA,Pallidum_ant,left,left
14,228,0.005,cross_network_same_hemi,LH_SomMotA_3,aPUT-lh,SomMotA,Putamen_ant,left,left
15,55,0.005,cross_network_same_hemi,LH_SomMotA_4,LH_LimbicA_TempPole_4,SomMotA,LimbicA,left,left
15,210,0.005,cross_hemi_diff_network,LH_SomMotA_4,pGP-rh,SomMotA,Pallidum_post,left,right
16,19,0.005,within_network,LH_SomMotA_5,LH_SomMotA_8,SomMotA,SomMotA,left,left
16,99,0.005,cross_network_same_hemi,LH_SomMotA_5,LH_TempPar_2,SomMotA,TempPar,left,left
16,120,0.005,within_network,LH_SomMotA_5,RH_SomMotA_9,SomMotA,SomMotA,left,right
16,143,0.005,cross_hemi_diff_network,LH_SomMotA_5,RH_SalVentAttnA_Ins_1,SomMotA,SalVentAttnA,left,right
16,202,0.005,cross_hemi_diff_network,LH_SomMotA_5,lAMY-rh,SomMotA,Amygdala_lat,left,right
16,207,0.005,cross_hemi_diff_network,LH_SomMotA_5,THA-DA-rh,SomMotA,Thalamus_DA,left,right
16,226,0.005,cross_network_same_hemi,LH_SomMotA_5,pGP-lh,SomMotA,Pallidum_post,left,left
17,27,0.005,cross_network_same_hemi,LH_SomMotA_6,LH_SomMotB_Cent_2,SomMotA,SomMotB,left,left
17,38,0.005,cross_network_same_hemi,LH_SomMotA_6,LH_DorsAttnB_FEF_1,SomMotA,DorsAttnB,left,left
17,59,0.005,cross_network_same_hemi,LH_SomMotA_6,LH_ContA_IPS_3,SomMotA,ContA,left,left
17,66,0.005,cross_network_same_hemi,LH_SomMotA_6,LH_ContB_Temp_1,SomMotA,ContB,left,left
17,113,0.005,within_network,LH_SomMotA_6,RH_SomMotA_2,SomMotA,SomMotA,left,right
17,118,0.01,within_network,LH_SomMotA_6,RH_SomMotA_7,SomMotA,SomMotA,left,right
18,119,0.005,within_network,LH_SomMotA_7,RH_SomMotA_8,SomMotA,SomMotA,left,right
18,147,0.005,cross_hemi_diff_network,LH_SomMotA_7,RH_SalVentAttnA_ParMed_1,SomMotA,SalVentAttnA,left,right
19,55,0.005,cross_network_same_hemi,LH_SomMotA_8,LH_LimbicA_TempPole_4,SomMotA,LimbicA,left,left
19,65,0.005,cross_network_same_hemi,LH_SomMotA_8,LH_ContA_Cingm_1,SomMotA,ContA,left,left
19,118,0.01,within_network,LH_SomMotA_8,RH_SomMotA_7,SomMotA,SomMotA,left,right
19,120,0.01,within_network,LH_SomMotA_8,RH_SomMotA_9,SomMotA,SomMotA,left,right
19,204,0.005,cross_hemi_diff_network,LH_SomMotA_8,THA-DP-rh,SomMotA,Thalamus_DP,left,right
19,217,0.005,cross_network_same_hemi,LH_SomMotA_8,pHIP-lh,SomMotA,Hippocampus_post,left,left
19,219,0.005,cross_network_same_hemi,LH_SomMotA_8,mAMY-lh,SomMotA,Amygdala_med,left,left
20,16,0.005,cross_network_same_hemi,LH_SomMotB_Aud_1,LH_SomMotA_5,SomMotB,SomMotA,left,left
20,22,0.01,within_network,LH_SomMotB_Aud_1,LH_SomMotB_S2_1,SomMotB,SomMotB,left,left
20,24,0.005,within_network,LH_SomMotB_Aud_1,LH_SomMotB_Aud_3,SomMotB,SomMotB,left,left
20,43,0.005,cross_network_same_hemi,LH_SomMotB_Aud_1,LH_SalVentAttnA_ParMed_1,SomMotB,SalVentAttnA,left,left
20,50,0.005,cross_network_same_hemi,LH_SomMotB_Aud_1,LH_LimbicB_OFC_1,SomMotB,LimbicB,left,left
20,53,0.005,cross_network_same_hemi,LH_SomMotB_Aud_1,LH_LimbicA_TempPole_2,SomMotB,LimbicA,left,left
20,55,0.005,cross_network_same_hemi,LH_SomMotB_Aud_1,LH_LimbicA_TempPole_4,SomMotB,LimbicA,left,left
20,92,0.01,cross_network_same_hemi,LH_SomMotB_Aud_1,LH_DefaultB_PFCv_2,SomMotB,DefaultB,left,left
20,126,0.005,within_network,LH_SomMotB_Aud_1,RH_SomMotB_S2_2,SomMotB,SomMotB,left,right
20,143,0.005,cross_hemi_diff_network,LH_SomMotB_Aud_1,RH_SalVentAttnA_Ins_1,SomMotB,SalVentAttnA,left,right
20,149,0.005,cross_hemi_diff_network,LH_SomMotB_Aud_1,RH_SalVentAttnA_FrMed_2,SomMotB,SalVentAttnA,left,right
20,163,0.005,cross_hemi_diff_network,LH_SomMotB_Aud_1,RH_LimbicA_TempPole_4,SomMotB,LimbicA,left,right
20,187,0.005,cross_hemi_diff_network,LH_SomMotB_Aud_1,RH_DefaultA_PFCm_2,SomMotB,DefaultA,left,right
20,197,0.005,cross_hemi_diff_network,LH_SomMotB_Aud_1,RH_TempPar_2,SomMotB,TempPar,left,right
20,202,0.005,cross_hemi_diff_network,LH_SomMotB_Aud_1,lAMY-rh,SomMotB,Amygdala_lat,left,right
20,204,0.01,cross_hemi_diff_network,LH_SomMotB_Aud_1,THA-DP-rh,SomMotB,Thalamus_DP,left,right
20,207,0.005,cross_hemi_diff_network,LH_SomMotB_Aud_1,THA-DA-rh,SomMotB,Thalamus_DA,left,right
20,210,0.02,cross_hemi_diff_network,LH_SomMotB_Aud_1,pGP-rh,SomMotB,Pallidum_post,left,right
20,211,0.01,cross_hemi_diff_network,LH_SomMotB_Aud_1,aGP-rh,SomMotB,Pallidum_ant,left,right
20,217,0.01,cross_network_same_hemi,LH_SomMotB_Aud_1,pHIP-lh,SomMotB,Hippocampus_post,left,left
20,225,0.005,cross_network_same_hemi,LH_SomMotB_Aud_1,NAc-core-lh,SomMotB,Accumbens_core,left,left
20,226,0.005,cross_network_same_hemi,LH_SomMotB_Aud_1,pGP-lh,SomMotB,Pallidum_post,left,left
21,99,0.005,cross_network_same_hemi,LH_SomMotB_Aud_2,LH_TempPar_2,SomMotB,TempPar,left,left
21,125,0.005,within_network,LH_SomMotB_Aud_2,RH_SomMotB_S2_1,SomMotB,SomMotB,left,right
21,126,0.005,within_network,LH_SomMotB_Aud_2,RH_SomMotB_S2_2,SomMotB,SomMotB,left,right
21,143,0.005,cross_hemi_diff_network,LH_SomMotB_Aud_2,RH_SalVentAttnA_Ins_1,SomMotB,SalVentAttnA,left,right
21,144,0.005,cross_hemi_diff_network,LH_SomMotB_Aud_2,RH_SalVentAttnA_Ins_2,SomMotB,SalVentAttnA,left,right
21,147,0.005,cross_hemi_diff_network,LH_SomMotB_Aud_2,RH_SalVentAttnA_ParMed_1,SomMotB,SalVentAttnA,left,right
21,169,0.005,cross_hemi_diff_network,LH_SomMotB_Aud_2,RH_ContA_Cingm_1,SomMotB,ContA,left,right
21,197,0.005,cross_hemi_diff_network,LH_SomMotB_Aud_2,RH_TempPar_2,SomMotB,TempPar,left,right
21,199,0.005,cross_hemi_diff_network,LH_SomMotB_Aud_2,RH_TempPar_4,SomMotB,TempPar,left,right
21,210,0.005,cross_hemi_diff_network,LH_SomMotB_Aud_2,pGP-rh,SomMotB,Pallidum_post,left,right
21,211,0.005,cross_hemi_diff_network,LH_SomMotB_Aud_2,aGP-rh,SomMotB,Pallidum_ant,left,right
21,219,0.005,cross_network_same_hemi,LH_SomMotB_Aud_2,mAMY-lh,SomMotB,Amygdala_med,left,left
