region_idx,region_name,network,hemisphere,prediction_frequency,precision,is_sink,is_ghost
143,RH_SalVentAttnA_Ins_1,SalVentAttnA,right,245,0.763265306122449,True,False
144,RH_SalVentAttnA_Ins_2,SalVentAttnA,right,216,0.9398148148148148,False,True
145,RH_SalVentAttnA_FrOper_1,SalVentAttnA,right,221,0.995475113122172,False,False
146,RH_SalVentAttnA_FrMed_1,SalVentAttnA,right,223,0.9730941704035875,False,False
147,RH_SalVentAttnA_ParMed_1,SalVentAttnA,right,222,0.8648648648648649,False,False
148,RH_SalVentAttnA_ParMed_2,SalVentAttnA,right,220,0.9590909090909091,False,False
149,RH_SalVentAttnA_FrMed_2,SalVentAttnA,right,216,0.9675925925925926,False,True
150,RH_SalVentAttnB_IPL_1,SalVentAttnB,right,220,0.9272727272727272,False,False
151,RH_SalVentAttnB_PFClv_1,SalVentAttnB,right,213,0.9812206572769953,False,True
152,RH_SalVentAttnB_PFCl_1,SalVentAttnB,right,234,0.905982905982906,False,False
153,RH_SalVentAttnB_Ins_1,SalVentAttnB,right,227,0.8678414096916299,False,False
154,RH_SalVentAttnB_Ins_2,SalVentAttnB,right,221,0.9683257918552036,False,False
155,RH_SalVentAttnB_PFCmp_1,SalVentAttnB,right,217,0.9723502304147466,False,False
156,RH_LimbicB_OFC_1,LimbicB,right,215,0.9395348837209302,False,True
157,RH_LimbicB_OFC_2,LimbicB,right,220,0.9363636363636364,False,False
158,RH_LimbicB_OFC_3,LimbicB,right,223,0.9820627802690582,False,False
159,RH_LimbicB_OFC_4,LimbicB,right,216,0.9444444444444444,False,True
160,RH_LimbicA_TempPole_1,LimbicA,right,238,0.8025210084033614,True,False
161,RH_LimbicA_TempPole_2,LimbicA,right,226,0.8141592920353983,False,False
162,RH_LimbicA_TempPole_3,LimbicA,right,247,0.7165991902834008,True,False
163,RH_LimbicA_TempPole_4,LimbicA,right,226,0.8982300884955752,False,False
164,RH_ContA_IPS_1,ContA,right,221,0.9773755656108597,False,False
165,RH_ContA_IPS_2,ContA,right,220,0.990909090909091,False,False
166,RH_ContA_PFCd_1,ContA,right,215,0.9534883720930233,False,True
167,RH_ContA_PFCl_1,ContA,right,226,0.9292035398230089,False,False
168,RH_ContA_PFCl_2,ContA,right,221,0.9457013574660633,False,False
169,RH_ContA_Cingm_1,ContA,right,225,0.9333333333333333,False,False
170,RH_ContB_Temp_1,ContB,right,221,0.9638009049773756,False,False
171,RH_ContB_Temp_2,ContB,right,247,0.8340080971659919,False,False
172,RH_ContB_IPL_1,ContB,right,215,0.9953488372093023,False,True
173,RH_ContB_IPL_2,ContB,right,221,0.9638009049773756,False,False
174,RH_ContB_PFCld_1,ContB,right,225,0.9066666666666666,False,False
175,RH_ContB_PFCld_2,ContB,right,218,0.9678899082568807,False,False
176,RH_ContB_PFClv_1,ContB,right,221,0.9457013574660633,False,False
177,RH_ContB_PFClv_2,ContB,right,219,0.9406392694063926,False,False
178,RH_ContB_PFCmp_1,ContB,right,219,0.9771689497716894,False,False
179,RH_ContB_PFCld_3,ContB,right,219,0.9817351598173516,False,False
180,RH_ContC_pCun_1,ContC,right,223,0.9955156950672646,False,False
181,RH_ContC_pCun_2,ContC,right,223,0.9865470852017937,False,False
182,RH_ContC_Cingp_1,ContC,right,224,0.9866071428571429,False,False
183,RH_DefaultA_IPL_1,DefaultA,right,224,0.9241071428571429,False,False
184,RH_DefaultA_PFCd_1,DefaultA,right,218,0.9174311926605505,False,False
185,RH_DefaultA_pCunPCC_1,DefaultA,right,224,1.0,False,False
186,RH_DefaultA_PFCm_1,DefaultA,right,224,0.9866071428571429,False,False
187,RH_DefaultA_PFCm_2,DefaultA,right,277,0.5306859205776173,True,False
188,RH_DefaultA_PFCm_3,DefaultA,right,220,0.990909090909091,False,False
