region_idx,region_name,network,mean_error_rate,std_error_rate,cv_error_rate,min_error_rate,max_error_rate
127,RH_SomMotB_S2_3,SomMotB,0.03111111111111111,0.02266230894930125,0.7284313567432965,0.0,0.06666666666666665
128,RH_SomMotB_S2_4,SomMotB,0.03111111111111109,0.017777777777777753,0.5714285695918363,0.0,0.0444444444444444
129,RH_SomMotB_Cent_1,SomMotB,0.008888888888888901,0.010886621079036363,1.2247448576132096,0.0,0.022222222222222254
130,RH_DorsAttnA_TempOcc_1,DorsAttnA,0.04888888888888887,0.02948110924760356,0.6030226879220721,0.0,0.0888888888888889
131,RH_DorsAttnA_ParOcc_1,DorsAttnA,0.11555555555555555,0.0722136747078752,0.6249260305850417,0.0,0.19999999999999996
132,RH_DorsAttnA_SPL_1,DorsAttnA,0.04444444444444444,0.04216370213557841,0.9486832959159768,0.0,0.11111111111111116
133,RH_DorsAttnA_SPL_2,DorsAttnA,0.03111111111111109,0.026666666666666655,0.8571428543877553,0.0,0.06666666666666665
134,RH_DorsAttnA_SPL_3,DorsAttnA,0.03111111111111111,0.02266230894930125,0.7284313567432965,0.0,0.06666666666666665
135,RH_DorsAttnA_SPL_4,DorsAttnA,0.03555555555555554,0.02266230894930125,0.6373774374064739,0.0,0.06666666666666665
136,RH_DorsAttnB_PostC_1,DorsAttnB,0.04888888888888889,0.04745368112013914,0.9706434754719843,0.0,0.1333333333333333
137,RH_DorsAttnB_PostC_2,DorsAttnB,0.06222222222222225,0.04309048762147849,0.6925256928036305,0.0,0.11111111111111116
138,RH_DorsAttnB_PostC_3,DorsAttnB,0.022222222222222233,0.02434322477800738,1.0954451100808285,0.0,0.06666666666666665
139,RH_DorsAttnB_PostC_4,DorsAttnB,0.01777777777777778,0.01662958838566195,0.9354143414317788,0.0,0.0444444444444444
140,RH_DorsAttnB_FEF_1,DorsAttnB,0.07555555555555556,0.05183068350973602,0.6859943396621019,0.0,0.15555555555555556
141,RH_SalVentAttnA_ParOper_1,SalVentAttnA,0.017777777777777802,0.008888888888888901,0.4999999971875,0.0,0.022222222222222254
142,RH_SalVentAttnA_PrC_1,SalVentAttnA,0.12444444444444447,0.07516237566794562,0.6039833754177906,0.0,0.2222222222222222
143,RH_SalVentAttnA_Ins_1,SalVentAttnA,0.12444444444444444,0.06970838729492498,0.560156683169807,0.0,0.19999999999999996
144,RH_SalVentAttnA_Ins_2,SalVentAttnA,0.06222222222222222,0.038232556742411695,0.6144518038012475,0.0,0.11111111111111116
145,RH_SalVentAttnA_FrOper_1,SalVentAttnA,0.013333333333333353,0.010886621079036363,0.8164965748040017,0.0,0.022222222222222254
146,RH_SalVentAttnA_FrMed_1,SalVentAttnA,0.02666666666666666,0.016629588385661937,0.6236095621237868,0.0,0.0444444444444444
147,RH_SalVentAttnA_ParMed_1,SalVentAttnA,0.11555555555555555,0.06798692684790378,0.5883484049054043,0.0,0.19999999999999996
148,RH_SalVentAttnA_ParMed_2,SalVentAttnA,0.04888888888888887,0.02948110924760356,0.6030226879220721,0.0,0.0888888888888889
149,RH_SalVentAttnA_FrMed_2,SalVentAttnA,0.04888888888888889,0.03823255674241169,0.7820295681315422,0.0,0.11111111111111116
150,RH_SalVentAttnB_IPL_1,SalVentAttnB,0.06666666666666665,0.044444444444444446,0.6666666656666669,0.0,0.1333333333333333
151,RH_SalVentAttnB_PFClv_1,SalVentAttnB,0.05333333333333332,0.045758356182164436,0.8579691768068911,0.0,0.1333333333333333
152,RH_SalVentAttnB_PFCl_1,SalVentAttnB,0.03555555555555554,0.02266230894930125,0.6373774374064739,0.0,0.06666666666666665
153,RH_SalVentAttnB_Ins_1,SalVentAttnB,0.08444444444444443,0.06501661705923463,0.7699336221581204,0.0,0.19999999999999996
154,RH_SalVentAttnB_Ins_2,SalVentAttnB,0.03555555555555556,0.0361068373539376,1.0155047977233875,0.0,0.0888888888888889
155,RH_SalVentAttnB_PFCmp_1,SalVentAttnB,0.04888888888888889,0.05862624870343519,1.199173266481047,0.0,0.15555555555555556
156,RH_LimbicB_OFC_1,LimbicB,0.08000000000000003,0.041216082202203144,0.5152010268835379,0.0,0.11111111111111116
157,RH_LimbicB_OFC_2,LimbicB,0.0622222222222222,0.04309048762147847,0.6925256928036307,0.0,0.1333333333333333
158,RH_LimbicB_OFC_3,LimbicB,0.01777777777777776,0.02177324215807267,1.224744864502399,0.0,0.0444444444444444
159,RH_LimbicB_OFC_4,LimbicB,0.08,0.06531972647421809,0.8164965799071054,0.0,0.15555555555555556
160,RH_LimbicA_TempPole_1,LimbicA,0.1288888888888889,0.0694244415636147,0.5386379082653088,0.0,0.19999999999999996
161,RH_LimbicA_TempPole_2,LimbicA,0.13333333333333336,0.07568616162633957,0.567646211771812,0.0,0.2222222222222222
162,RH_LimbicA_TempPole_3,LimbicA,0.17777777777777778,0.1070363962559315,0.6020797286009448,0.0,0.28888888888888886
163,RH_LimbicA_TempPole_4,LimbicA,0.07555555555555557,0.06378977819736589,0.8442764750241826,0.0,0.1777777777777778
164,RH_ContA_IPS_1,ContA,0.03555555555555556,0.036106837353937604,1.0155047977233875,0.0,0.0888888888888889
165,RH_ContA_IPS_2,ContA,0.02222222222222221,0.028109134757052248,1.264911058375252,0.0,0.06666666666666665
166,RH_ContA_PFCd_1,ContA,0.0711111111111111,0.051448164012401015,0.7234898054069819,0.0,0.15555555555555556
167,RH_ContA_PFCl_1,ContA,0.04444444444444442,0.02434322477800738,0.5477225562727907,0.0,0.06666666666666665
168,RH_ContA_PFCl_2,ContA,0.05333333333333332,0.030143688813890086,0.5651941642007001,0.0,0.0888888888888889
