region_idx,mean_confidence,std_confidence,mean_conf_correct,mean_conf_incorrect,confidence_gap,region_name,network
36,0.8313375091421759,0.2214047028897917,0.8669112572338551,0.39817481179055164,0.46873644544330345,LH_DorsAttnB_PostC_3,DorsAttnB
37,0.8827271801354568,0.18415974386413825,0.9098714248656906,0.35711589581365943,0.5527555290520312,LH_DorsAttnB_PostC_4,DorsAttnB
38,0.8011965266034936,0.2361426787540017,0.8515569323665985,0.3610903718911434,0.49046656047545506,LH_DorsAttnB_FEF_1,DorsAttnB
39,0.8776209772431199,0.17443284751114238,0.8876837053103305,0.43687348789929975,0.4508102174110307,LH_SalVentAttnA_ParOper_1,SalVentAttnA
40,0.8009841681795807,0.24649974464191943,0.8406962987430033,0.4171002393998285,0.42359605934317485,LH_SalVentAttnA_Ins_1,SalVentAttnA
41,0.8155355588810254,0.21767956200445482,0.8429949659889983,0.4036444522614304,0.43935051372756784,LH_SalVentAttnA_FrOper_1,SalVentAttnA
42,0.8464072461959636,0.21005762426619604,0.8774712037722768,0.3804478825512631,0.4970233212210137,LH_SalVentAttnA_FrOper_2,SalVentAttnA
43,0.8564988167521274,0.2130814507733358,0.8777233981414527,0.34946715022935415,0.5282562479120986,LH_SalVentAttnA_ParMed_1,SalVentAttnA
44,0.883873989396165,0.17947719566176268,0.8895980570662652,0.24850247801502287,0.6410955790512423,LH_SalVentAttnA_FrMed_1,SalVentAttnA
45,0.8512657029598893,0.21237927331429443,0.8720391621856592,0.355010843677609,0.5170283185080502,LH_SalVentAttnA_FrMed_2,SalVentAttnA
46,0.8176025393824905,0.2430983359092027,0.8638082900374313,0.34630388270209334,0.517504407335338,LH_SalVentAttnB_IPL_1,SalVentAttnB
47,0.8349399256020261,0.21603877902333818,0.8701317844678869,0.37744576034583605,0.4926860241220508,LH_SalVentAttnB_PFCl_1,SalVentAttnB
48,0.8276111304601653,0.23074917530366687,0.8561710932856774,0.32305178720945227,0.5331193060762252,LH_SalVentAttnB_Ins_1,SalVentAttnB
49,0.8953766923935501,0.16909617588664913,0.9139098536840251,0.394981337550724,0.518928516133301,LH_SalVentAttnB_PFCmp_1,SalVentAttnB
50,0.6759654274361374,0.28514716165798315,0.7618864081770463,0.30364117755886455,0.4582452306181818,LH_LimbicB_OFC_1,LimbicB
51,0.8499703007495407,0.21457998170510334,0.8747522597731254,0.4477400427513559,0.4270122170217695,LH_LimbicB_OFC_2,LimbicB
52,0.7521631818015772,0.27210758274365054,0.8053742946244232,0.363919136390443,0.44145515823398024,LH_LimbicA_TempPole_1,LimbicA
53,0.7309254455142202,0.2772816268711169,0.8074752726871927,0.408704079972172,0.39877119271502065,LH_LimbicA_TempPole_2,LimbicA
54,0.7073476939214584,0.27387702620480503,0.7790559431421806,0.39661194729832916,0.38244399584385147,LH_LimbicA_TempPole_3,LimbicA
55,0.601486340154929,0.2799250156452496,0.7185807345290551,0.3384482078652253,0.38013252666382985,LH_LimbicA_TempPole_4,LimbicA
56,0.7613077708917716,0.2561142350221446,0.8283883729601732,0.31024855008700275,0.5181398228731704,LH_ContA_Temp_1,ContA
57,0.8869852575299019,0.1740396283224932,0.9087094799976879,0.4220868967192832,0.48662258327840474,LH_ContA_IPS_1,ContA
58,0.8688080941153474,0.19150668891974956,0.8915384512210995,0.46723845191372687,0.42429999930737267,LH_ContA_IPS_2,ContA
59,0.8329431502007214,0.20928494714972315,0.8586404079185775,0.4474842844328796,0.41115612348569797,LH_ContA_IPS_3,ContA
60,0.8203891888744319,0.2383868826074031,0.8637127245979834,0.2928614303582453,0.5708512942397381,LH_ContA_PFCd_1,ContA
61,0.8510977455010366,0.2101942129989894,0.8825516744662448,0.3792888110229125,0.5032628634433323,LH_ContA_PFClv_1,ContA
62,0.8584669362758673,0.19660948543070908,0.8751952027863835,0.4068037404919306,0.46839146229445294,LH_ContA_PFCl_1,ContA
63,0.8139238929347419,0.22598675019380074,0.8504072898785664,0.3963916834665273,0.4540156064120391,LH_ContA_PFCl_2,ContA
64,0.7825841143726618,0.25916835000112565,0.8407242344358394,0.3756032739304197,0.46512096050541973,LH_ContA_PFCl_3,ContA
65,0.8307475374223104,0.23271790797651998,0.8746102212342884,0.3287634893518947,0.5458467318823937,LH_ContA_Cingm_1,ContA
66,0.8330740041453583,0.23040913595387447,0.873919872109775,0.36561573744147846,0.5083041346682965,LH_ContB_Temp_1,ContB
67,0.8508773643395967,0.21020514672290586,0.8745978792235743,0.4318149347226559,0.44278294450091843,LH_ContB_IPL_1,ContB
68,0.861895518042423,0.20317829888179434,0.8785634267555628,0.41186198278765096,0.4667014439679118,LH_ContB_PFCl_1,ContB
69,0.8391217606940303,0.22711776899788846,0.8797933745962615,0.37365773492405285,0.5061356396722086,LH_ContB_PFClv_1,ContB
70,0.7943877192615474,0.23360176201583313,0.8331343954935405,0.3991716216952171,0.43396277379832343,LH_ContB_PFClv_2,ContB
71,0.9371746036872939,0.1226496657481654,0.9371746036872939,0.0,0.9371746036872939,LH_ContC_pCun_1,ContC
72,0.8993893719464213,0.16838427321066085,0.915870704451835,0.3005676242497225,0.6153030802021126,LH_ContC_pCun_2,ContC
73,0.9200723941469049,0.1370754465671476,0.9261304408882656,0.47379628420001724,0.45233415668824833,LH_ContC_Cingp_1,ContC
74,0.8803707168931492,0.1784752455979607,0.8965816494212239,0.4426755386351331,0.4539061107860908,LH_DefaultA_IPL_1,DefaultA
75,0.8601965736704588,0.19462622734858734,0.8803987413054934,0.37758923572240666,0.5028095055830868,LH_DefaultA_PFCd_1,DefaultA
76,0.9157672983178716,0.13913628859628938,0.9227618745357336,0.4005001836020454,0.5222616909336881,LH_DefaultA_pCunPCC_1,DefaultA
77,0.876953499765867,0.1790754234247872,0.8906588852089616,0.452086551029931,0.43857233417903063,LH_DefaultA_pCunPCC_2,DefaultA
78,0.9008851232260868,0.15531443525822122,0.9131639012649926,0.45475618781251037,0.4584077134524822,LH_DefaultA_pCunPCC_3,DefaultA
79,0.8676078302007451,0.2038118794364383,0.8990373139351142,0.3961655741852074,0.5028717397499067,LH_DefaultA_PFCm_1,DefaultA
80,0.8728823833965647,0.18957412344079064,0.8970030145039359,0.4058192537720109,0.49118376073192505,LH_DefaultA_PFCm_2,DefaultA
81,0.9092260547816216,0.13729643332372524,0.9156275749891052,0.5571424433700312,0.358485131619074,LH_DefaultA_PFCm_3,DefaultA
