region_idx,region_name,network,hemisphere,accuracy,n_samples,Analysis,Strategy,Phase
83,LH_DefaultB_Temp_2,DefaultB,left,0.875,224,Full Connectivity,MULTINOMIAL,CV
84,LH_DefaultB_Temp_3,DefaultB,left,0.9330357142857144,224,Full Connectivity,MULTINOMIAL,CV
85,LH_DefaultB_Temp_4,DefaultB,left,0.9553571428571428,224,Full Connectivity,MULTINOMIAL,CV
86,LH_DefaultB_IPL_1,DefaultB,left,0.8705357142857143,224,Full Connectivity,MULTINOMIAL,CV
87,LH_DefaultB_PFCd_1,DefaultB,left,0.9866071428571428,224,Full Connectivity,MULTINOMIAL,CV
88,LH_DefaultB_PFCd_2,DefaultB,left,0.9821428571428572,224,Full Connectivity,MULTINOMIAL,CV
89,LH_DefaultB_PFCd_3,DefaultB,left,0.9464285714285714,224,Full Connectivity,MULTINOMIAL,CV
90,LH_DefaultB_PFCd_4,DefaultB,left,0.9553571428571428,224,Full Connectivity,MULTINOMIAL,CV
91,LH_DefaultB_PFCv_1,DefaultB,left,0.9241071428571428,224,Full Connectivity,MULTINOMIAL,CV
92,LH_DefaultB_PFCv_2,DefaultB,left,0.8526785714285714,224,Full Connectivity,MULTINOMIAL,CV
93,LH_DefaultB_PFCv_3,DefaultB,left,0.9553571428571428,224,Full Connectivity,MULTINOMIAL,CV
94,LH_DefaultB_PFCv_4,DefaultB,left,0.9598214285714286,224,Full Connectivity,MULTINOMIAL,CV
95,LH_DefaultC_IPL_1,DefaultC,left,0.9553571428571428,224,Full Connectivity,MULTINOMIAL,CV
96,LH_DefaultC_Rsp_1,DefaultC,left,0.9910714285714286,224,Full Connectivity,MULTINOMIAL,CV
97,LH_DefaultC_PHC_1,DefaultC,left,0.9508928571428572,224,Full Connectivity,MULTINOMIAL,CV
98,LH_TempPar_1,TempPar,left,0.8973214285714286,224,Full Connectivity,MULTINOMIAL,CV
99,LH_TempPar_2,TempPar,left,0.8482142857142857,224,Full Connectivity,MULTINOMIAL,CV
100,RH_VisCent_ExStr_1,VisCent,right,0.9821428571428572,224,Full Connectivity,MULTINOMIAL,CV
101,RH_VisCent_ExStr_2,VisCent,right,0.9285714285714286,224,Full Connectivity,MULTINOMIAL,CV
102,RH_VisCent_Striate_1,VisCent,right,0.9910714285714286,224,Full Connectivity,MULTINOMIAL,CV
103,RH_VisCent_ExStr_3,VisCent,right,0.9330357142857144,224,Full Connectivity,MULTINOMIAL,CV
104,RH_VisCent_ExStr_4,VisCent,right,0.9732142857142856,224,Full Connectivity,MULTINOMIAL,CV
105,RH_VisCent_ExStr_5,VisCent,right,0.9866071428571428,224,Full Connectivity,MULTINOMIAL,CV
106,RH_VisPeri_ExStrInf_1,VisPeri,right,0.9866071428571428,224,Full Connectivity,MULTINOMIAL,CV
107,RH_VisPeri_ExStrInf_2,VisPeri,right,0.96875,224,Full Connectivity,MULTINOMIAL,CV
108,RH_VisPeri_StriCal_1,VisPeri,right,0.9955357142857144,224,Full Connectivity,MULTINOMIAL,CV
109,RH_VisPeri_ExStrSup_1,VisPeri,right,0.96875,224,Full Connectivity,MULTINOMIAL,CV
