region_idx,region_name,network,hemisphere,accuracy_cv,accuracy_task,accuracy_drop
3,LH_VisCent_ExStr_3,VisCent,left,0.96875,0.94,0.028750000000000053
104,RH_VisCent_ExStr_4,VisCent,right,0.9732142857142856,0.945,0.028214285714285636
102,RH_VisCent_Striate_1,VisCent,right,0.9910714285714286,0.965,0.026071428571428634
26,LH_SomMotB_Cent_1,SomMotB,left,0.9910714285714286,0.965,0.026071428571428634
44,LH_SalVentAttnA_FrMed_1,SalVentAttnA,left,0.9910714285714286,0.965,0.026071428571428634
70,LH_ContB_PFClv_2,ContB,left,0.9107142857142856,0.885,0.02571428571428558
94,LH_DefaultB_PFCv_4,DefaultB,left,0.9598214285714286,0.935,0.02482142857142855
111,RH_VisPeri_ExStrSup_3,VisPeri,right,0.96875,0.945,0.02375000000000005
6,LH_VisPeri_ExStrInf_1,VisPeri,left,0.96875,0.945,0.02375000000000005
38,LH_DorsAttnB_FEF_1,DorsAttnB,left,0.8973214285714286,0.875,0.022321428571428603
110,RH_VisPeri_ExStrSup_2,VisPeri,right,0.9866071428571428,0.965,0.021607142857142825
106,RH_VisPeri_ExStrInf_1,VisPeri,right,0.9866071428571428,0.965,0.021607142857142825
76,LH_DefaultA_pCunPCC_1,DefaultA,left,0.9866071428571428,0.965,0.021607142857142825
189,RH_DefaultB_Temp_1,DefaultB,right,0.9508928571428572,0.93,0.020892857142857157
194,RH_DefaultC_Rsp_1,DefaultC,right,0.9955357142857144,0.975,0.020535714285714435
154,RH_SalVentAttnB_Ins_2,SalVentAttnB,right,0.9553571428571428,0.935,0.02035714285714274
166,RH_ContA_PFCd_1,ContA,right,0.9151785714285714,0.895,0.02017857142857138
75,LH_DefaultA_PFCd_1,DefaultA,left,0.9598214285714286,0.94,0.019821428571428656
45,LH_SalVentAttnA_FrMed_2,SalVentAttnA,left,0.9598214285714286,0.94,0.019821428571428656
77,LH_DefaultA_pCunPCC_2,DefaultA,left,0.96875,0.95,0.018750000000000044
101,RH_VisCent_ExStr_2,VisCent,right,0.9285714285714286,0.91,0.018571428571428572
151,RH_SalVentAttnB_PFClv_1,SalVentAttnB,right,0.9330357142857144,0.915,0.018035714285714377
103,RH_VisCent_ExStr_3,VisCent,right,0.9330357142857144,0.915,0.018035714285714377
16,LH_SomMotA_5,SomMotA,left,0.9821428571428572,0.965,0.017142857142857237
108,RH_VisPeri_StriCal_1,VisPeri,right,0.9955357142857144,0.98,0.01553571428571443
2,LH_VisCent_Striate_1,VisCent,left,0.9955357142857144,0.98,0.01553571428571443
93,LH_DefaultB_PFCv_3,DefaultB,left,0.9553571428571428,0.94,0.015357142857142847
118,RH_SomMotA_7,SomMotA,right,0.9553571428571428,0.94,0.015357142857142847
9,LH_VisPeri_StriCal_1,VisPeri,left,1.0,0.985,0.015000000000000013
113,RH_SomMotA_2,SomMotA,right,0.9598214285714286,0.945,0.014821428571428652
52,LH_LimbicA_TempPole_1,LimbicA,left,0.8794642857142857,0.865,0.014464285714285707
10,LH_VisPeri_ExStrSup_1,VisPeri,left,0.9642857142857144,0.95,0.014285714285714457
165,RH_ContA_IPS_2,ContA,right,0.9732142857142856,0.96,0.013214285714285623
149,RH_SalVentAttnA_FrMed_2,SalVentAttnA,right,0.9330357142857144,0.92,0.013035714285714373
39,LH_SalVentAttnA_ParOper_1,SalVentAttnA,left,0.9776785714285714,0.965,0.012678571428571428
129,RH_SomMotB_Cent_1,SomMotB,right,0.9821428571428572,0.97,0.012142857142857233
147,RH_SalVentAttnA_ParMed_1,SalVentAttnA,right,0.8571428571428571,0.845,0.012142857142857122
155,RH_SalVentAttnB_PFCmp_1,SalVentAttnB,right,0.9419642857142856,0.93,0.011964285714285539
163,RH_LimbicA_TempPole_4,LimbicA,right,0.90625,0.895,0.011249999999999982
56,LH_ContA_Temp_1,ContA,left,0.8705357142857143,0.86,0.010535714285714315
74,LH_DefaultA_IPL_1,DefaultA,left,0.9642857142857144,0.955,0.009285714285714453
19,LH_SomMotA_8,SomMotA,left,0.9642857142857144,0.955,0.009285714285714453
188,RH_DefaultA_PFCm_3,DefaultA,right,0.9732142857142856,0.965,0.008214285714285618
138,RH_DorsAttnB_PostC_3,DorsAttnB,right,0.9732142857142856,0.965,0.008214285714285618
198,RH_TempPar_3,TempPar,right,0.8928571428571429,0.885,0.007857142857142896
152,RH_SalVentAttnB_PFCl_1,SalVentAttnB,right,0.9464285714285714,0.94,0.00642857142857145
195,RH_DefaultC_PHC_1,DefaultC,right,0.9464285714285714,0.94,0.00642857142857145
96,LH_DefaultC_Rsp_1,DefaultC,left,0.9910714285714286,0.985,0.0060714285714286165
97,LH_DefaultC_PHC_1,DefaultC,left,0.9508928571428572,0.945,0.005892857142857255
80,LH_DefaultA_PFCm_2,DefaultA,left,0.9508928571428572,0.945,0.005892857142857255
11,LH_VisPeri_ExStrSup_2,VisPeri,left,0.9955357142857144,0.99,0.0055357142857144215
95,LH_DefaultC_IPL_1,DefaultC,left,0.9553571428571428,0.95,0.005357142857142838
60,LH_ContA_PFCd_1,ContA,left,0.9241071428571428,0.92,0.004107142857142754
146,RH_SalVentAttnA_FrMed_1,SalVentAttnA,right,0.96875,0.965,0.003750000000000031
72,LH_ContC_pCun_2,ContC,left,0.9732142857142856,0.97,0.003214285714285614
1,LH_VisCent_ExStr_1,VisCent,left,0.9776785714285714,0.975,0.002678571428571419
12,LH_SomMotA_1,SomMotA,left,0.9375,0.935,0.0024999999999999467
218,lAMY-lh,Amygdala_lat,left,0.7723214285714286,0.77,0.0023214285714285854
4,LH_VisCent_ExStr_4,VisCent,left,0.9821428571428572,0.98,0.002142857142857224
105,RH_VisCent_ExStr_5,VisCent,right,0.9866071428571428,0.985,0.001607142857142807
29,LH_DorsAttnA_TempOcc_2,DorsAttnA,left,0.9508928571428572,0.95,0.0008928571428572507
83,LH_DefaultB_Temp_2,DefaultB,left,0.875,0.875,0.0
49,LH_SalVentAttnB_PFCmp_1,SalVentAttnB,left,0.9642857142857144,0.965,-0.0007142857142855563
192,RH_DefaultB_PFCv_1,DefaultB,right,0.96875,0.97,-0.0012499999999999734
53,LH_LimbicA_TempPole_2,LimbicA,left,0.8080357142857143,0.81,-0.0019642857142857517
88,LH_DefaultB_PFCd_2,DefaultB,left,0.9821428571428572,0.985,-0.0028571428571427804
81,LH_DefaultA_PFCm_3,DefaultA,left,0.9821428571428572,0.985,-0.0028571428571427804
5,LH_VisCent_ExStr_5,VisCent,left,0.9866071428571428,0.99,-0.0033928571428571974
32,LH_DorsAttnA_SPL_2,DorsAttnA,left,0.9553571428571428,0.96,-0.004642857142857171
214,aCAU-rh,Caudate_ant,right,0.9598214285714286,0.965,-0.005178571428571366
17,LH_SomMotA_6,SomMotA,left,0.9598214285714286,0.965,-0.005178571428571366
133,RH_DorsAttnA_SPL_2,DorsAttnA,right,0.9598214285714286,0.965,-0.005178571428571366
210,pGP-rh,Pallidum_post,right,0.4598214285714285,0.465,-0.005178571428571532
68,LH_ContB_PFCl_1,ContB,left,0.9642857142857144,0.97,-0.005714285714285561
160,RH_LimbicA_TempPole_1,LimbicA,right,0.8526785714285714,0.86,-0.00732142857142859
100,RH_VisCent_ExStr_1,VisCent,right,0.9821428571428572,0.99,-0.007857142857142785
18,LH_SomMotA_7,SomMotA,left,0.9821428571428572,0.99,-0.007857142857142785
13,LH_SomMotA_2,SomMotA,left,0.9464285714285714,0.955,-0.008571428571428563
120,RH_SomMotA_9,SomMotA,right,0.9508928571428572,0.96,-0.009107142857142758
159,RH_LimbicB_OFC_4,LimbicB,right,0.9107142857142856,0.92,-0.009285714285714453
46,LH_SalVentAttnB_IPL_1,SalVentAttnB,left,0.9107142857142856,0.92,-0.009285714285714453
172,RH_ContB_IPL_1,ContB,right,0.9553571428571428,0.965,-0.009642857142857175
177,RH_ContB_PFClv_2,ContB,right,0.9196428571428572,0.93,-0.010357142857142843
171,RH_ContB_Temp_2,ContB,right,0.9196428571428572,0.93,-0.010357142857142843
121,RH_SomMotA_10,SomMotA,right,0.9732142857142856,0.985,-0.0117857142857144
139,RH_DorsAttnB_PostC_4,DorsAttnB,right,0.9732142857142856,0.985,-0.0117857142857144
51,LH_LimbicB_OFC_2,LimbicB,left,0.9419642857142856,0.955,-0.013035714285714373
119,RH_SomMotA_8,SomMotA,right,0.9419642857142856,0.955,-0.013035714285714373
132,RH_DorsAttnA_SPL_1,DorsAttnA,right,0.9508928571428572,0.965,-0.014107142857142763
150,RH_SalVentAttnB_IPL_1,SalVentAttnB,right,0.9107142857142856,0.925,-0.014285714285714457
57,LH_ContA_IPS_1,ContA,left,0.9553571428571428,0.97,-0.01464285714285718
90,LH_DefaultB_PFCd_4,DefaultB,left,0.9553571428571428,0.97,-0.01464285714285718
115,RH_SomMotA_4,SomMotA,right,0.9598214285714286,0.975,-0.015178571428571375
164,RH_ContA_IPS_1,ContA,right,0.9642857142857144,0.98,-0.01571428571428557
30,LH_DorsAttnA_ParOcc_1,DorsAttnA,left,0.8839285714285714,0.9,-0.016071428571428625
168,RH_ContA_PFCl_2,ContA,right,0.9330357142857144,0.95,-0.016964285714285543
59,LH_ContA_IPS_3,ContA,left,0.9375,0.955,-0.01749999999999996
148,RH_SalVentAttnA_ParMed_2,SalVentAttnA,right,0.9419642857142856,0.96,-0.018035714285714377
28,LH_DorsAttnA_TempOcc_1,DorsAttnA,left,0.9464285714285714,0.965,-0.018571428571428572
91,LH_DefaultB_PFCv_1,DefaultB,left,0.9241071428571428,0.945,-0.020892857142857157
183,RH_DefaultA_IPL_1,DefaultA,right,0.9241071428571428,0.945,-0.020892857142857157
34,LH_DorsAttnB_PostC_1,DorsAttnB,left,0.96875,0.99,-0.02124999999999999
114,RH_SomMotA_3,SomMotA,right,0.9285714285714286,0.95,-0.021428571428571352
156,RH_LimbicB_OFC_1,LimbicB,right,0.9017857142857144,0.925,-0.023214285714285632
89,LH_DefaultB_PFCd_3,DefaultB,left,0.9464285714285714,0.97,-0.023571428571428577
173,RH_ContB_IPL_2,ContB,right,0.9508928571428572,0.975,-0.02410714285714277
66,LH_ContB_Temp_1,ContB,left,0.9196428571428572,0.945,-0.025357142857142745
131,RH_DorsAttnA_ParOcc_1,DorsAttnA,right,0.8794642857142857,0.905,-0.025535714285714328
116,RH_SomMotA_5,SomMotA,right,0.9330357142857144,0.96,-0.026964285714285552
175,RH_ContB_PFCld_2,ContB,right,0.9419642857142856,0.97,-0.028035714285714386
130,RH_DorsAttnA_TempOcc_1,DorsAttnA,right,0.9419642857142856,0.97,-0.028035714285714386
58,LH_ContA_IPS_2,ContA,left,0.9464285714285714,0.975,-0.02857142857142858
220,THA-DP-lh,Thalamus_DP,left,0.7410714285714286,0.77,-0.028928571428571415
112,RH_SomMotA_1,SomMotA,right,0.9508928571428572,0.98,-0.029107142857142776
178,RH_ContB_PFCmp_1,ContB,right,0.9553571428571428,0.985,-0.029642857142857193
15,LH_SomMotA_4,SomMotA,left,0.9598214285714286,0.99,-0.030178571428571388
43,LH_SalVentAttnA_ParMed_1,SalVentAttnA,left,0.9598214285714286,0.99,-0.030178571428571388
176,RH_ContB_PFClv_1,ContB,right,0.9330357142857144,0.965,-0.031964285714285556
31,LH_DorsAttnA_SPL_1,DorsAttnA,left,0.9375,0.97,-0.03249999999999997
35,LH_DorsAttnB_PostC_2,DorsAttnB,left,0.9508928571428572,0.985,-0.03410714285714278
37,LH_DorsAttnB_PostC_4,DorsAttnB,left,0.9508928571428572,0.985,-0.03410714285714278
117,RH_SomMotA_6,SomMotA,right,0.9642857142857144,1.0,-0.03571428571428559
36,LH_DorsAttnB_PostC_3,DorsAttnB,left,0.9241071428571428,0.96,-0.03589285714285717
64,LH_ContA_PFCl_3,ContA,left,0.875,0.915,-0.040000000000000036
191,RH_DefaultB_PFCd_1,DefaultB,right,0.9196428571428572,0.96,-0.04035714285714276
157,RH_LimbicB_OFC_2,LimbicB,right,0.9196428571428572,0.96,-0.04035714285714276
67,LH_ContB_IPL_1,ContB,left,0.9464285714285714,0.99,-0.043571428571428594
86,LH_DefaultB_IPL_1,DefaultB,left,0.8705357142857143,0.915,-0.044464285714285734
137,RH_DorsAttnB_PostC_2,DorsAttnB,right,0.9196428571428572,0.965,-0.04535714285714276
69,LH_ContB_PFClv_1,ContB,left,0.9196428571428572,0.98,-0.060357142857142776
153,RH_SalVentAttnB_Ins_1,SalVentAttnB,right,0.8794642857142857,0.945,-0.06553571428571425
187,RH_DefaultA_PFCm_2,DefaultA,right,0.65625,0.755,-0.09875
