region_idx,region_name,network,hemisphere,accuracy
209,NAc-core-rh,Accumbens_core,right,0.8794642857142857
131,RH_DorsAttnA_ParOcc_1,DorsAttnA,right,0.8794642857142857
83,LH_DefaultB_Temp_2,DefaultB,left,0.875
64,LH_ContA_PFCl_3,ContA,left,0.875
224,NAc-shell-lh,Accumbens_shell,left,0.875
56,LH_ContA_Temp_1,ContA,left,0.8705357142857143
86,LH_DefaultB_IPL_1,DefaultB,left,0.8705357142857143
219,mAMY-lh,Amygdala_med,left,0.8616071428571429
147,RH_SalVentAttnA_ParMed_1,SalVentAttnA,right,0.8571428571428571
203,mAMY-rh,Amygdala_med,right,0.8571428571428571
92,LH_DefaultB_PFCv_2,DefaultB,left,0.8526785714285714
160,RH_LimbicA_TempPole_1,LimbicA,right,0.8526785714285714
99,LH_TempPar_2,TempPar,left,0.8482142857142857
8,LH_VisPeri_ExStrInf_3,VisPeri,left,0.8482142857142857
205,THA-VP-rh,Thalamus_VP,right,0.8482142857142857
143,RH_SalVentAttnA_Ins_1,SalVentAttnA,right,0.8348214285714286
201,pHIP-rh,Hippocampus_post,right,0.8348214285714286
142,RH_SalVentAttnA_PrC_1,SalVentAttnA,right,0.8303571428571429
161,RH_LimbicA_TempPole_2,LimbicA,right,0.8214285714285714
50,LH_LimbicB_OFC_1,LimbicB,left,0.8125
217,pHIP-lh,Hippocampus_post,left,0.8125
221,THA-VP-lh,Thalamus_VP,left,0.8125
54,LH_LimbicA_TempPole_3,LimbicA,left,0.8125
53,LH_LimbicA_TempPole_2,LimbicA,left,0.8080357142857143
208,NAc-shell-rh,Accumbens_shell,right,0.8080357142857143
162,RH_LimbicA_TempPole_3,LimbicA,right,0.7901785714285714
204,THA-DP-rh,Thalamus_DP,right,0.78125
202,lAMY-rh,Amygdala_lat,right,0.7767857142857143
218,lAMY-lh,Amygdala_lat,left,0.7723214285714286
220,THA-DP-lh,Thalamus_DP,left,0.7410714285714286
55,LH_LimbicA_TempPole_4,LimbicA,left,0.6919642857142857
187,RH_DefaultA_PFCm_2,DefaultA,right,0.65625
226,pGP-lh,Pallidum_post,left,0.5267857142857143
211,aGP-rh,Pallidum_ant,right,0.5178571428571429
227,aGP-lh,Pallidum_ant,left,0.5089285714285714
210,pGP-rh,Pallidum_post,right,0.4598214285714285
