region_name,network,cv_accuracy,cv_error_rate,task_accuracy,task_error_rate,error_increase,error_increase_pct,data_type,reorganization_rank
LH_SalVentAttnA_FrOper_1,SalVentAttnA,0.9375,0.0625,0.86,0.14,0.07750000000000001,122.04724409448822,full,39
THA-VA-lh,Thalamus_VA,0.9241071428571428,0.0758928571428572,0.85,0.15000000000000002,0.07410714285714282,96.37714816535053,full,40
LH_VisPeri_ExStrInf_3,VisPeri,0.8482142857142857,0.1517857142857143,0.775,0.22499999999999998,0.07321428571428568,47.919588592800345,full,41
LH_DefaultB_PFCv_2,DefaultB,0.8526785714285714,0.1473214285714286,0.78,0.21999999999999997,0.07267857142857137,49.00072236937149,full,42
LH_DefaultB_Temp_1,DefaultB,0.9375,0.0625,0.865,0.135,0.07250000000000001,114.17322834645671,full,43
THA-DA-lh,Thalamus_DA,0.9017857142857144,0.09821428571428559,0.83,0.17000000000000004,0.07178571428571445,72.35421166306722,full,44
RH_DorsAttnB_PostC_1,DorsAttnB,0.9508928571428572,0.049107142857142794,0.88,0.12,0.0708928571428572,141.48253741981497,full,45
aHIP-lh,Hippocampus_ant,0.9107142857142856,0.08928571428571441,0.84,0.16000000000000003,0.07071428571428562,78.32278481012636,full,46
aPUT-rh,Putamen_ant,0.96875,0.03125,0.9,0.09999999999999998,0.06874999999999998,213.17829457364334,full,47
RH_SalVentAttnA_FrOper_1,SalVentAttnA,0.9821428571428572,0.017857142857142794,0.915,0.08499999999999996,0.06714285714285717,356.06060606060737,full,48
LH_ContC_pCun_1,ContC,1.0,0.0,0.935,0.06499999999999995,0.06499999999999995,6499.9999999999945,full,49
LH_ContA_PFCl_1,ContA,0.9642857142857144,0.03571428571428559,0.9,0.09999999999999998,0.06428571428571439,175.09727626459232,full,50
LH_SomMotA_3,SomMotA,0.9732142857142856,0.026785714285714413,0.91,0.08999999999999997,0.06321428571428556,227.50642673521688,full,51
LH_SalVentAttnA_FrOper_2,SalVentAttnA,0.9375,0.0625,0.875,0.125,0.0625,98.4251968503937,full,52
pCAU-rh,Caudate_post,0.9375,0.0625,0.875,0.125,0.0625,98.4251968503937,full,53
LH_SalVentAttnB_Ins_1,SalVentAttnB,0.9464285714285714,0.0535714285714286,0.885,0.11499999999999999,0.06142857142857139,112.56544502617787,full,54
LH_SomMotB_Cent_2,SomMotB,0.9508928571428572,0.049107142857142794,0.89,0.10999999999999999,0.06089285714285719,121.52530292230959,full,55
LH_DefaultB_Temp_4,DefaultB,0.9553571428571428,0.044642857142857206,0.895,0.10499999999999998,0.060357142857142776,132.23787167449103,full,56
RH_VisPeri_ExStrInf_2,VisPeri,0.96875,0.03125,0.91,0.08999999999999997,0.05874999999999997,182.17054263565882,full,57
RH_TempPar_2,TempPar,0.8928571428571429,0.1071428571428571,0.835,0.16500000000000004,0.05785714285714294,53.5006605019816,full,58
mAMY-rh,Amygdala_med,0.8571428571428571,0.1428571428571429,0.8,0.19999999999999996,0.05714285714285705,39.72194637537231,full,59
RH_DefaultA_PFCm_1,DefaultA,0.9866071428571428,0.013392857142857206,0.93,0.06999999999999995,0.056607142857142745,393.3002481389553,full,60
RH_ContC_Cingp_1,ContC,0.9866071428571428,0.013392857142857206,0.93,0.06999999999999995,0.056607142857142745,393.3002481389553,full,61
LH_SalVentAttnA_Ins_1,SalVentAttnA,0.90625,0.09375,0.85,0.15000000000000002,0.05625000000000002,59.36675461741427,full,62
LH_SomMotB_S2_2,SomMotB,0.9910714285714286,0.008928571428571397,0.935,0.06499999999999995,0.05607142857142855,564.7482014388505,full,63
aPUT-lh,Putamen_ant,0.9508928571428572,0.049107142857142794,0.895,0.10499999999999998,0.05589285714285719,111.5466856735569,full,64
RH_TempPar_1,TempPar,0.9151785714285714,0.0848214285714286,0.86,0.14,0.05517857142857141,64.29463171036201,full,65
LH_SomMotB_Aud_2,SomMotB,0.9821428571428572,0.017857142857142794,0.93,0.06999999999999995,0.05214285714285716,276.51515151515247,full,66
RH_SomMotB_Aud_1,SomMotB,0.9464285714285714,0.0535714285714286,0.895,0.10499999999999998,0.05142857142857138,94.24083769633494,full,67
RH_SalVentAttnA_Ins_2,SalVentAttnA,0.90625,0.09375,0.855,0.14500000000000002,0.05125000000000002,54.089709762533,full,68
RH_DorsAttnA_SPL_4,DorsAttnA,0.9598214285714286,0.0401785714285714,0.91,0.08999999999999997,0.04982142857142857,120.98872506504779,full,69
