region_name,network,cv_accuracy,cv_error_rate,task_accuracy,task_error_rate,error_increase,error_increase_pct,data_type,reorganization_rank
RH_SomMotA_10,SomMotA,0.9508928571428572,0.049107142857142794,0.885,0.11499999999999999,0.0658928571428572,131.5039201710623,right,67
RH_LimbicB_OFC_2,LimbicB,0.9241071428571428,0.0758928571428572,0.86,0.14,0.06410714285714281,83.37203901532732,right,68
RH_SalVentAttnA_FrMed_2,SalVentAttnA,0.9464285714285714,0.0535714285714286,0.885,0.11499999999999999,0.06142857142857139,112.56544502617787,right,69
RH_DorsAttnA_SPL_2,DorsAttnA,0.9553571428571428,0.044642857142857206,0.895,0.10499999999999998,0.060357142857142776,132.23787167449103,right,70
RH_TempPar_3,TempPar,0.9196428571428572,0.0803571428571428,0.86,0.14,0.05964285714285722,73.30992098331886,right,71
RH_ContA_Cingm_1,ContA,0.6294642857142857,0.3705357142857143,0.57,0.43000000000000005,0.05946428571428575,16.004998558108248,right,72
RH_VisCent_ExStr_3,VisCent,0.9017857142857144,0.09821428571428559,0.845,0.15500000000000003,0.05678571428571444,57.23542116630692,right,73
RH_ContA_PFCl_2,ContA,0.9017857142857144,0.09821428571428559,0.85,0.15000000000000002,0.051785714285714435,52.1958243340535,right,74
RH_VisPeri_ExStrSup_2,VisPeri,0.9910714285714286,0.008928571428571397,0.94,0.06000000000000005,0.051071428571428656,514.3884892086356,right,75
RH_DorsAttnA_TempOcc_1,DorsAttnA,0.9642857142857144,0.03571428571428559,0.915,0.08499999999999996,0.04928571428571438,134.24124513618747,right,76
RH_VisCent_ExStr_4,VisCent,0.9732142857142856,0.026785714285714413,0.925,0.07499999999999996,0.04821428571428554,173.52185089974154,right,77
RH_SalVentAttnB_PFCmp_1,SalVentAttnB,0.9285714285714286,0.0714285714285714,0.885,0.11499999999999999,0.043571428571428594,60.15779092702175,right,78
RH_DefaultC_PHC_1,DefaultC,0.9464285714285714,0.0535714285714286,0.905,0.09499999999999997,0.04142857142857137,75.916230366492,right,79
RH_DorsAttnA_SPL_1,DorsAttnA,0.9598214285714286,0.0401785714285714,0.92,0.07999999999999996,0.03982142857142856,96.70424978317438,right,80
RH_ContB_PFClv_2,ContB,0.8705357142857143,0.1294642857142857,0.835,0.16500000000000004,0.03553571428571434,27.237886668491697,right,81
RH_LimbicA_TempPole_4,LimbicA,0.9196428571428572,0.0803571428571428,0.885,0.11499999999999999,0.0346428571428572,42.58121158911335,right,82
RH_SalVentAttnA_ParOper_1,SalVentAttnA,0.9642857142857144,0.03571428571428559,0.93,0.06999999999999995,0.034285714285714364,93.38521400778264,right,83
RH_LimbicA_TempPole_1,LimbicA,0.7991071428571429,0.2008928571428571,0.765,0.235,0.03410714285714289,16.893684769149147,right,84
RH_VisCent_Striate_1,VisCent,0.9285714285714286,0.0714285714285714,0.895,0.10499999999999998,0.033571428571428585,46.35108481262331,right,85
RH_ContB_Temp_2,ContB,0.8973214285714286,0.1026785714285714,0.865,0.135,0.03232142857142861,31.17464691698248,right,86
RH_SalVentAttnA_FrMed_1,SalVentAttnA,0.9553571428571428,0.044642857142857206,0.925,0.07499999999999996,0.03035714285714275,66.51017214397463,right,87
RH_DorsAttnA_ParOcc_1,DorsAttnA,0.875,0.125,0.845,0.15500000000000003,0.030000000000000027,23.80952380952383,right,88
RH_DefaultA_PFCm_2,DefaultA,0.6785714285714286,0.3214285714285714,0.65,0.35,0.02857142857142858,8.861320336730175,right,89
RH_LimbicB_OFC_1,LimbicB,0.8526785714285714,0.1473214285714286,0.825,0.17500000000000004,0.02767857142857144,18.66120876474838,right,90
RH_DefaultB_PFCd_1,DefaultB,0.9508928571428572,0.049107142857142794,0.925,0.07499999999999996,0.025892857142857162,51.67498218104073,right,91
RH_DefaultA_IPL_1,DefaultA,0.9241071428571428,0.0758928571428572,0.9,0.09999999999999998,0.02410714285714277,31.35160241523442,right,92
RH_ContB_PFClv_1,ContB,0.9330357142857144,0.06696428571428559,0.91,0.08999999999999997,0.02303571428571438,33.89385181292716,right,93
RH_VisPeri_StriCal_1,VisPeri,0.9821428571428572,0.017857142857142794,0.96,0.040000000000000036,0.022142857142857242,117.42424242424335,right,94
RH_ContB_IPL_1,ContB,0.9508928571428572,0.049107142857142794,0.93,0.06999999999999995,0.020892857142857157,41.69636493228804,right,95
RH_SomMotA_9,SomMotA,0.9508928571428572,0.049107142857142794,0.93,0.06999999999999995,0.020892857142857157,41.69636493228804,right,96
RH_ContB_IPL_2,ContB,0.9642857142857144,0.03571428571428559,0.945,0.05500000000000005,0.01928571428571446,52.52918287937809,right,97
RH_SomMotA_3,SomMotA,0.9375,0.0625,0.92,0.07999999999999996,0.01749999999999996,27.55905511811017,right,98
RH_VisCent_ExStr_5,VisCent,0.9821428571428572,0.017857142857142794,0.965,0.03500000000000003,0.017142857142857237,90.90909090909172,right,99
RH_VisCent_ExStr_1,VisCent,0.9821428571428572,0.017857142857142794,0.965,0.03500000000000003,0.017142857142857237,90.90909090909172,right,100
RH_ContA_IPS_1,ContA,0.9464285714285714,0.0535714285714286,0.93,0.06999999999999995,0.016428571428571348,30.104712041884653,right,101
