region_name,network,cv_accuracy,cv_error_rate,task_accuracy,task_error_rate,error_increase,error_increase_pct,data_type,reorganization_rank
LH_VisPeri_ExStrInf_3,VisPeri,0.8392857142857143,0.1607142857142857,0.72,0.28,0.11928571428571433,73.76325088339226,left,33
lAMY-lh,Subcortical,0.7991071428571429,0.2008928571428571,0.68,0.31999999999999995,0.11910714285714286,58.99522377498675,left,34
aCAU-lh,Subcortical,0.9241071428571428,0.0758928571428572,0.805,0.19499999999999995,0.11910714285714274,154.9001393404549,left,35
LH_SalVentAttnB_PFCl_1,SalVentAttnB,0.9241071428571428,0.0758928571428572,0.805,0.19499999999999995,0.11910714285714274,154.9001393404549,left,36
LH_ContC_pCun_1,ContC,0.9732142857142856,0.026785714285714413,0.855,0.14500000000000002,0.1182142857142856,425.4498714652933,left,37
LH_ContB_PFClv_2,ContB,0.8660714285714286,0.1339285714285714,0.755,0.245,0.1110714285714286,82.31868713605085,left,38
LH_SalVentAttnB_IPL_1,SalVentAttnB,0.9285714285714286,0.0714285714285714,0.82,0.18000000000000005,0.10857142857142865,149.90138067061162,left,39
LH_DefaultB_Temp_4,DefaultB,0.9375,0.0625,0.83,0.17000000000000004,0.10750000000000004,169.2913385826772,left,40
LH_SomMotB_S2_2,SomMotB,0.9955357142857144,0.004464285714285587,0.89,0.10999999999999999,0.1055357142857144,1931.3725490196546,left,41
LH_DefaultB_PFCv_4,DefaultB,0.9776785714285714,0.022321428571428603,0.875,0.125,0.1026785714285714,440.2756508422657,left,42
LH_DorsAttnB_FEF_1,DorsAttnB,0.90625,0.09375,0.805,0.19499999999999995,0.10124999999999995,106.86015831134559,left,43
LH_ContA_PFCl_1,ContA,0.96875,0.03125,0.87,0.13,0.09875,306.2015503875969,left,44
LH_ContA_PFCd_1,ContA,0.9464285714285714,0.0535714285714286,0.85,0.15000000000000002,0.09642857142857142,176.70157068062815,left,45
LH_LimbicB_OFC_1,LimbicB,0.8214285714285714,0.1785714285714286,0.725,0.275,0.09642857142857142,53.699284009546524,left,46
LH_DefaultB_Temp_1,DefaultB,0.9330357142857144,0.06696428571428559,0.84,0.16000000000000003,0.09303571428571444,136.88912243825587,left,47
LH_SomMotB_Aud_2,SomMotB,0.9642857142857144,0.03571428571428559,0.875,0.125,0.08928571428571441,243.1906614786004,left,48
LH_DefaultB_PFCv_1,DefaultB,0.9419642857142856,0.05803571428571441,0.86,0.14,0.0819642857142856,138.83847549909208,left,49
LH_SalVentAttnA_FrMed_2,SalVentAttnA,0.9642857142857144,0.03571428571428559,0.885,0.11499999999999999,0.0792857142857144,215.95330739299717,left,50
LH_DefaultB_PFCv_3,DefaultB,0.9419642857142856,0.05803571428571441,0.865,0.135,0.0769642857142856,130.36902601330866,left,51
THA-VP-lh,Subcortical,0.7857142857142857,0.2142857142857143,0.71,0.29000000000000004,0.07571428571428573,35.16921035169211,left,52
LH_SomMotB_S2_3,SomMotB,0.9642857142857144,0.03571428571428559,0.89,0.10999999999999999,0.0742857142857144,202.33463035019557,left,53
LH_TempPar_2,TempPar,0.8526785714285714,0.1473214285714286,0.78,0.21999999999999997,0.07267857142857137,49.00072236937149,left,54
LH_DefaultC_IPL_1,DefaultC,0.9464285714285714,0.0535714285714286,0.875,0.125,0.0714285714285714,130.89005235602082,left,55
LH_SalVentAttnA_ParOper_1,SalVentAttnA,0.9910714285714286,0.008928571428571397,0.92,0.07999999999999996,0.07107142857142856,715.8273381294986,left,56
LH_DefaultA_pCunPCC_1,DefaultA,0.9821428571428572,0.017857142857142794,0.92,0.07999999999999996,0.062142857142857166,329.5454545454558,left,57
mAMY-lh,Subcortical,0.8258928571428571,0.1741071428571429,0.765,0.235,0.06089285714285708,34.774627778910826,left,58
LH_DorsAttnA_SPL_3,DorsAttnA,0.9419642857142856,0.05803571428571441,0.885,0.11499999999999999,0.05696428571428558,96.491228070175,left,59
LH_SalVentAttnA_FrMed_1,SalVentAttnA,0.9598214285714286,0.0401785714285714,0.905,0.09499999999999997,0.054821428571428577,133.1309627059845,left,60
LH_VisCent_Striate_1,VisCent,0.96875,0.03125,0.915,0.08499999999999996,0.053749999999999964,166.66666666666654,left,61
LH_DefaultB_PFCd_1,DefaultB,0.9866071428571428,0.013392857142857206,0.935,0.06499999999999995,0.05160714285714274,358.5607940446626,left,62
LH_VisPeri_ExStrInf_2,VisPeri,0.9508928571428572,0.049107142857142794,0.9,0.09999999999999998,0.050892857142857184,101.5680684248042,left,63
LH_VisPeri_ExStrSup_1,VisPeri,0.9598214285714286,0.0401785714285714,0.91,0.08999999999999997,0.04982142857142857,120.98872506504779,left,64
LH_SalVentAttnB_PFCmp_1,SalVentAttnB,0.9598214285714286,0.0401785714285714,0.91,0.08999999999999997,0.04982142857142857,120.98872506504779,left,65
LH_DefaultB_Temp_2,DefaultB,0.8794642857142857,0.1205357142857143,0.83,0.17000000000000004,0.04946428571428574,40.69938289744345,left,66
LH_VisPeri_ExStrInf_1,VisPeri,0.9642857142857144,0.03571428571428559,0.915,0.08499999999999996,0.04928571428571438,134.24124513618747,left,67
LH_ContA_Temp_1,ContA,0.8928571428571429,0.1071428571428571,0.845,0.15500000000000003,0.04785714285714293,44.25363276089837,left,68
LH_DefaultA_PFCm_2,DefaultA,0.9419642857142856,0.05803571428571441,0.895,0.10499999999999998,0.04696428571428557,79.55232909860818,left,69
LH_VisCent_ExStr_1,VisCent,0.9866071428571428,0.013392857142857206,0.94,0.06000000000000005,0.04660714285714285,323.8213399503707,left,70
LH_VisCent_ExStr_5,VisCent,0.9910714285714286,0.008928571428571397,0.945,0.05500000000000005,0.04607142857142865,464.02877697841956,left,71
LH_DefaultA_PFCm_1,DefaultA,0.9107142857142856,0.08928571428571441,0.865,0.135,0.045714285714285596,50.63291139240486,left,72
LH_SomMotA_3,SomMotA,0.9553571428571428,0.044642857142857206,0.91,0.08999999999999997,0.04535714285714276,99.37402190923284,left,73
LH_DorsAttnA_TempOcc_1,DorsAttnA,0.9598214285714286,0.0401785714285714,0.915,0.08499999999999996,0.04482142857142857,108.84648742411109,left,74
LH_ContB_PFCl_1,ContB,0.9598214285714286,0.0401785714285714,0.915,0.08499999999999996,0.04482142857142857,108.84648742411109,left,75
LH_VisPeri_StriCal_1,VisPeri,0.9821428571428572,0.017857142857142794,0.94,0.06000000000000005,0.04214285714285726,223.48484848484986,left,76
LH_DorsAttnB_PostC_1,DorsAttnB,0.9821428571428572,0.017857142857142794,0.94,0.06000000000000005,0.04214285714285726,223.48484848484986,left,77
LH_DefaultC_PHC_1,DefaultC,0.9419642857142856,0.05803571428571441,0.9,0.09999999999999998,0.041964285714285565,71.08287961282475,left,78
LH_DorsAttnA_SPL_1,DorsAttnA,0.9642857142857144,0.03571428571428559,0.925,0.07499999999999996,0.03928571428571437,107.00389105058426,left,79
LH_SomMotA_7,SomMotA,0.9285714285714286,0.0714285714285714,0.89,0.10999999999999999,0.03857142857142859,53.25443786982254,left,80
LH_ContA_IPS_3,ContA,0.9598214285714286,0.0401785714285714,0.925,0.07499999999999996,0.03482142857142856,84.56201214223768,left,81
LH_DefaultB_IPL_1,DefaultB,0.8928571428571429,0.1071428571428571,0.86,0.14,0.03285714285714292,30.38309114927352,left,82
THA-DP-lh,Subcortical,0.7276785714285714,0.2723214285714286,0.695,0.30500000000000005,0.032678571428571446,11.956095648765196,left,83
LH_LimbicA_TempPole_3,LimbicA,0.8035714285714286,0.1964285714285714,0.775,0.22499999999999998,0.02857142857142858,14.471780028943568,left,84
LH_DefaultC_Rsp_1,DefaultC,0.9776785714285714,0.022321428571428603,0.95,0.050000000000000044,0.02767857142857144,118.68300153139346,left,85
LH_LimbicA_TempPole_1,LimbicA,0.8169642857142857,0.1830357142857143,0.79,0.20999999999999996,0.026964285714285663,14.651659227634358,left,86
LH_DorsAttnA_ParOcc_1,DorsAttnA,0.9017857142857144,0.09821428571428559,0.875,0.125,0.026785714285714413,26.99784017278634,left,87
LH_VisPeri_ExStrSup_2,VisPeri,0.9910714285714286,0.008928571428571397,0.965,0.03500000000000003,0.026071428571428634,262.58992805755537,left,88
LH_DorsAttnA_SPL_2,DorsAttnA,0.9598214285714286,0.0401785714285714,0.935,0.06499999999999995,0.02482142857142855,60.27753686036426,left,89
LH_VisCent_ExStr_3,VisCent,0.9642857142857144,0.03571428571428559,0.94,0.06000000000000005,0.024285714285714466,66.1478599221797,left,90
