region_id,region_name,network,accuracy_multinomial,accuracy_ovr,ovr_advantage
45,LH_SalVentAttnA_FrMed_2,SalVentAttnA,0.9642857142857144,0.9910714285714286,0.02678571428571419
3,LH_VisCent_ExStr_3,VisCent,0.9642857142857144,0.9642857142857144,0.0
28,LH_DorsAttnA_TempOcc_1,DorsAttnA,0.9598214285714286,0.96875,0.008928571428571397
10,LH_VisPeri_ExStrSup_1,VisPeri,0.9598214285714286,0.9821428571428572,0.022321428571428603
42,LH_SalVentAttnA_FrOper_2,SalVentAttnA,0.9598214285714286,0.9866071428571428,0.02678571428571419
13,LH_SomMotA_2,SomMotA,0.9598214285714286,0.9642857142857144,0.0044642857142858094
17,LH_SomMotA_6,SomMotA,0.9598214285714286,0.9598214285714286,0.0
37,LH_DorsAttnB_PostC_4,DorsAttnB,0.9598214285714286,0.9776785714285714,0.017857142857142794
59,LH_ContA_IPS_3,ContA,0.9598214285714286,0.9732142857142856,0.013392857142856984
68,LH_ContB_PFCl_1,ContB,0.9598214285714286,0.9553571428571428,-0.0044642857142858094
44,LH_SalVentAttnA_FrMed_1,SalVentAttnA,0.9598214285714286,0.9866071428571428,0.02678571428571419
49,LH_SalVentAttnB_PFCmp_1,SalVentAttnB,0.9598214285714286,0.9866071428571428,0.02678571428571419
32,LH_DorsAttnA_SPL_2,DorsAttnA,0.9598214285714286,0.9642857142857144,0.0044642857142858094
72,LH_ContC_pCun_2,ContC,0.9553571428571428,0.96875,0.013392857142857206
15,LH_SomMotA_4,SomMotA,0.9553571428571428,0.9821428571428572,0.026785714285714413
41,LH_SalVentAttnA_FrOper_1,SalVentAttnA,0.9553571428571428,0.9598214285714286,0.0044642857142858094
24,LH_SomMotB_Aud_3,SomMotB,0.9553571428571428,0.9375,-0.017857142857142794
14,LH_SomMotA_3,SomMotA,0.9553571428571428,0.9732142857142856,0.017857142857142794
112,aPUT-lh,Subcortical,0.9553571428571428,0.9732142857142856,0.017857142857142794
7,LH_VisPeri_ExStrInf_2,VisPeri,0.9508928571428572,0.9642857142857144,0.013392857142857206
19,LH_SomMotA_8,SomMotA,0.9508928571428572,0.9464285714285714,-0.0044642857142858094
75,LH_DefaultA_PFCd_1,DefaultA,0.9508928571428572,0.9732142857142856,0.02232142857142838
22,LH_SomMotB_S2_1,SomMotB,0.9464285714285714,0.9419642857142856,-0.0044642857142858094
43,LH_SalVentAttnA_ParMed_1,SalVentAttnA,0.9464285714285714,0.96875,0.022321428571428603
27,LH_SomMotB_Cent_2,SomMotB,0.9464285714285714,0.9464285714285714,0.0
60,LH_ContA_PFCd_1,ContA,0.9464285714285714,0.9553571428571428,0.008928571428571397
